,title,content,pub_time,src
0,海岬型船费率连跌7个交易日 bdi指数录得下跌,"波罗的海干散货指数在周四下跌76点或4.6%，报1561点。海岬型船运价指数下跌6.7%至2621点，日均获利下跌1568美元至21737美元。巴拿马型船运价指数下跌3.4%，至1365点，日均获利下跌427美元至12286美元。超灵便型船运价指数持平，报599点。
（责任编辑：(image_address=""//comment.10jqka.com.cn/sourcepic/12/1tC41s34.png"")）
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：jdm",2020-10-16 06:57:04,同花顺
1,美联储巴金：劳动力市场可能需要更长时间才能恢复,"周四，里士满联邦储备银行行长巴金(Thomas Barkin)表示，随着人们对经济更有信心，消费者和企业的消费可能会增加，但劳动力市场可能需要更长的时间才能恢复，因为失去的工作岗位和需求较高的工作岗位之间存在劳动力不匹配的问题。
巴金指出，在零售商或餐馆失去工作的人可能无法在短时间内找到其他工作，也没有其他工作需要的技能。他表示：“我们需要思考的是如果帮助人们找到下一份工作或投入到下一份事业中去。”
巴金称，许多家庭和企业在卫生事件期间积极储蓄，随着人们开始消费，这些现金可能会促进经济复苏，但消费者和企业可能需要在进行大笔投资之前看到卫生事件得以控制。
他表示：“资金可能会在四五年内进入经济，而不是四五个月，企业仍对投资保持谨慎，不过考虑到卫生事件的严重性，政府的对策以及经济情况，这种谨慎是很自然的。”
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：zjl",2020-10-16 06:56:50,同花顺
2,上海运用信息技术变革教育模式―― 让优质教育资源遍布城市每个角落,"在上海徐汇区徐汇实验小学的教室内，学生们通过直播连线画面，观看“红领巾”小分队在食堂后厨的参观体验场景。 新华社记者 刘 颖摄
今年年初新冠肺炎疫情袭来时，上海教育工作者精心打造“空中课堂”，让沪上150余万名中小学生做到了“停课不停教、不停学”。如今，疫情防控步入常态化，上海全市中小学生均已返校。但是记者连日来在采访中了解到，上海的视频课程并没有下线，“空中课堂”秋季课程在上海东方有线和百视通IPTV的电视大屏端，每天仍然保持20万人左右的收视。一直“在线”的空中课堂，是上海市利用信息技术变革教育模式、更新教育理念的深刻思考与实践。
从上课到下课，“空中课堂”每堂课大约20分钟，课间休息约20分钟，而且升旗、班会、广播体操等“一个都不能少”，体育、音乐、美术等学科也“一个都不能落下”。这既是模拟真实的校园学习氛围，又可以推动学生居家学习时加强锻炼，保护视力，增强体质。
“为全市的孩子们录课，当全市孩子们的老师，这是一项全新又充满挑战的工程。”上海市浦东新区龚路中心小学教师冯欢笑说。
把原来40分钟的课程变成约20分钟，知识点需要重新切割，教学流程需要重新组织，活动环节需要重新设计，这其中凝聚了教师们的智慧与心血。
有别于平时的课堂，“空中课堂”对知识描述的清晰准确、教学环节的有效科学都有着极其严苛的要求。一节20分钟左右的视频课，要经过备课、磨课、修改、审核等十几个环节。
除了课程制作团队，他们同时组成课程内容审核团队和课程制作技术审核团队。上海市还专门建立了“9752”课程供给和审核机制，播出前9天，各区完成制作、初审并上传课程视频；播出前7天，完成视频技术审核、内容审核和修改定稿；播出前5天，电视台抽查反馈；播出前2天，针对可能出现急需修改课程的情况，建立区级、学科通报和应急处置机制。
上海城市管理以“绣花针式”著称，这一管理的精髓，在录制空中课堂视频课之际表现得淋漓尽致。今年秋季学期，上海还将录制5500余节优质在线教育视频课，覆盖小学、初中、高中150余万学生，内容涵盖中小学所有基础型课程，实现信息化时代优质教育资源的共享。
随着“空中课堂”的持续在线，这一全新教育模式也在深刻改变着人们对于教育的认识。“在线教育的实践给了我们一个新契机，推进线上教育与线下教育的进一步融合，促进上海教育的优质均衡发展。”上海市教委主任王平说。
“‘空中课堂’不仅为学校提供了托底保障资源，还发挥了优课示范作用，录播教师统一授课与本校任课教师辅导相结合的双师教学模式也使线上线下教育加速融合，促进了教师专业能力发展。”上海市教委副主任贾炜告诉记者，上海市教委决定探索建立长效机制，最终形成一套完整的优质视频课程。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：zjl",2020-10-16 06:56:42,同花顺
3,世界贸易组织发布报告修正预测 全球贸易出现反弹迹象,"本报日内瓦电 记者杨海泉报道：世界贸易组织（WTO）日前发布《贸易统计与展望》报告，修正了世贸组织今年4月份和6月份的全球贸易预测，缩小了此前预测的2020年全球贸易下降幅度。报告指出，尽管全球贸易已从新冠肺炎疫情引发的深度衰退中出现反弹迹象，但全球复苏进程仍有可能被持续的疫情效应所破坏。
报告预测，2020年世界商品贸易量将下降9.2%，2021年全球商品贸易量将增长7.2%。全球贸易实际表现将取决于疫情演变和各国政府对疫情的反应。因此，这些预测存在很高的不确定性。根据世贸组织今年4月份发布的全球贸易预测，2020年全球贸易将出现12.9%的降幅，但从目前数据看，今年的降幅没有此前预测得那么大，全球贸易出现比此前预测更为乐观的走势。不过，报告对明年全球贸易增长的预测（7.2%）比之前增长21.3%的预测更为悲观。世贸组织在6月份的全球贸易预测中曾指出，明年全球贸易有可能出现“微弱复苏”，全球商品贸易增幅约为5%，但这一增长无法使全球贸易恢复到疫情前水平，更不可能出现所谓“快速回归疫情前水平”的情况。因此，对2021年全球贸易增长的最新预测似乎更符合“微弱复苏”的前景判断。
报告指出，今年的全球贸易表现超出预期，主要受疫情封锁措施放松和经济活动加速等利好因素驱动，6月份和7月份全球贸易大幅提升且表现强劲，为2020年全球贸易整体增长带来诸多乐观迹象。近几个月来，新冠肺炎相关产品贸易增长尤其强劲，表明贸易有能力帮助各国政府获得抗击疫情所需物资供应。然而，一旦压抑已久的贸易需求被耗尽，企业库存得到补充，贸易扩张的步伐或将大幅放缓。特别是如果今年四季度新冠肺炎疫情反弹，则可能出现更多负面结果。
报告称，尽管新冠肺炎疫情期间全球贸易下降幅度与2008年至2009年的国际金融危机时相似，但两者的经济背景很不同。在当前的经济衰退中，GDP收缩力度要大得多，贸易下降幅度却更为温和。因此，按市场汇率计算，预计全球商品贸易量降幅仅为全球GDP降幅的2倍左右，2008年至2009年国际金融危机期间这一降幅是6倍。这一差别与新冠肺炎疫情的性质和疫情应对政策有很大关系。封锁和旅行限制给各国经济造成了严重的供应侧限制，大大减少了通常对商业周期波动具有抵抗力部门的产出和就业，特别是非贸易服务部门。与此同时，强劲的货币和财政政策提振了收入，使消费和进口在封锁放松后出现反弹。全球复苏能否在中期内持续，将取决于投资和就业的强劲程度。如果新冠肺炎疫情再次暴发并挫伤市场信心，同时迫使各国政府实施更严格的封锁措施，则全球复苏将受到影响。即使疫苗或其他医疗手段被证明有效，但其提升经济和贸易潜力的效力是有限的。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：zjl",2020-10-16 06:55:18,同花顺
4,G20再延长最贫困国家债务偿付期限,"本报利雅得电 记者宋博奇报道：当地时间10月14日，二十国集团（G20）财长和央行行长举行视频会议，同意将最贫困国家债务暂缓偿付期再延长6个月至2021年6月底。会议由二十国集团轮值主席国沙特阿拉伯主持。
会议发表的公报说，二十国集团将致力于继续实施缓债倡议，以支持最贫困国家应对新冠肺炎疫情大流行对公共卫生、社会和经济产生的影响。公报指出，鉴于持续的流动性压力，与会代表同意将最贫困国家缓债期限延长6个月，并将根据届时经济形势于2021年国际货币基金组织和世界银行春季会议时决定是否需要再次延长。
沙特财政大臣穆罕默德·贾丹当天接受媒体采访时表示，目前有超过70个贫困国家符合缓债倡议资格，其中46个国家已申请延长其债务偿还期限。
今年4月15日，二十国集团财长和央行行长举行视频会议，讨论通过了二十国集团“暂缓最贫困国家债务偿付倡议”，一致同意暂缓有关国家今年5月1日至年底到期的债务本息偿付。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：zjl",2020-10-16 06:54:42,同花顺
5,众多新车亮相武汉车展,"(image_address=""//comment.10jqka.com.cn/sourcepic/12/s6S9rcjVsagtsay.png"")讯（记者李金友通讯员韩爽）10月15日，第二十一届武汉国际汽车展览会在武汉国际博览中心开幕，150余个品牌、近400家参展商参与，市民冒雨排队扫码有序入馆，尽享今年最大规模的“汽车盛宴”。
第二十一届武汉国际车展，是武汉按下重启键之后举办的第二个大型线下车展，展出面积10万平方米，既有宾利、兰博基尼等豪华品牌，一汽、东风、上汽、北汽、广汽等各大汽车集团也连续多年不缺席，德系、美系、法系、日系、韩系、自主等150余个汽车品牌、近400家参展商参展。
在武汉国际博览中心A2馆，东风本田、东风风神、东风标致、东风雪铁龙等武汉车企“扎堆”。
(image_address=""//comment.10jqka.com.cn/sourcepic/12/s6S9rcjVsagtsay.png"")记者在现场看到，上述汽车品牌展台人流量明显密集，在东风本田展台，新车LIFE的发布会刚刚结束，就有观展市民咨询购车事宜。“东风本田的车好开，省心。”看中了新款CR-V的市民杜先生说，原准备在8月底的华中车展上出手的，但因种种原因未能如愿。
湖北是汽车大省，去年全省汽车产量约占国内汽车总产量的9%，汽车产业工业增加值占全省工业增加值的比重超13%。武汉作为全国六大汽车产业集群发展城市之一，2019年武汉市汽车及零部件产业完成总产值超过3200亿元，聚集了7家整车企业，12个汽车总装工厂，500多家零部件企业，54家“世界500强”，拥有14家省级以上汽车研发机构。
据介绍，4月以来，武汉汽车整车及零部件企业复苏按下“快进键”，以东风本田、上汽通用武汉基地为代表的整车企业产销量逐月攀升，东风本田产销量连续6个月增长，9月份销量达8.72万辆，连续3个月创下历年单月终端汽车销量历史数据，更创下了单日生产汽车3800辆的最高纪录。与此同时，今年4月之后，全省汽车产业复苏，产量回升，稳定了湖北经济的基本盘。
作为疫后重振复苏中的重要车展，不少参展品牌在此次车展上发布新车型、新技术。15日上午从9：00开始到中午，参展品牌的发布会一场接着一场。
东风本田以主场姿态聚集重磅车型参展，并率先举行新车发布会，推出全新车型LIFE。LIFE是Honda史上首款四门轿车，衍生出多款同系车型。
东风旗下的自主品牌车企――东风启辰，以“‘质’敬英雄城市”为主题，推出全新旗舰车型启辰星。东风启辰武汉区域负责人介绍，武汉作为中国汽车市场消费的重点区域，疫后逐渐释放市场潜力，占比整个湖北区域销量50%以上，成为中部市场的先锋标杆。“向英雄城市致敬，向英雄的人民致敬。”这位负责人表示，针对战斗在抗疫一线的医护工作者，启辰专门定制“英雄礼”，不仅给予多重购车补贴和优惠，在售后服务上也会给予多重礼遇。
武汉本土车企占据主场优势，外地品牌同样不甘示弱。由于城区道路为皮卡解禁，长城汽车（601633）作为皮卡细分市场的领军者，今年推出多款皮卡新品，15日的车展首日，长城汽车在汉上市越野能力强悍的柴油版“长城炮”越野皮卡。比亚迪（002594），自主品牌头部车企之一，参展武汉国际车展从未缺席，此次在武汉车展上上市最新车型比亚迪汉/宋PLUS。
新能源汽车、智能网联汽车已是汽车产业发展大势，参加本届武汉国际车展的车企几乎都推出了新能源车型，引来不少关注。本届车展还在A4馆设立“新能源、智能网联汽车新品展示专区”，展示电动无人驾驶观光车、车路协同智能网联仿真系统、充电桩、智能车载空调等最新产品、新技术供观展者体验，引来不少专业人士围观。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：zjl",2020-10-16 06:54:07,同花顺
6,保定市莲池区 全力推进“双控”机制建设,"本报讯(赵永学)保定市莲池区牢固树立安全发展理念，紧紧围绕“将风险挺在隐患前面,将隐患挺在事故前面”的理念，全力推进“双控”机制建设。
该区区委、区政府多次召开会议针对工作进行学习、研究、调度，各职能部门和乡镇立足实际，因地制宜，分类实施，整体推进。
为确保“双控”机制建设取得实实在在的成效，该区提出“双控”建设“既保质量，又保数量”的工作要求，明确了企业“双控”机制运行“9+14+3”运行模式，必须做到9方面内容，对企业“双控”机制管理手册规定了14项标准内容和3项“双控”运行机制，包括岗位风险诵读、岗位两个安全确认、安全隐患闭环管理。
在深化认知上下功夫，组织专家编写了“双控”指导手册，定期组织全区部门、乡镇安全主管和企业层面“双控建设论坛”；在分类指导上下功夫，将相关企业按规模、按工艺、按管理水平、按人数分为四类，不同类别的企业由不同的责任单位负责推进；在完善防控机制上下功夫，引导企业建立确保“双控”有效运行的执行机制、管理机制、监督机制，努力提升自我安全管理水平和事故防控能力；在监管手段上下功夫，建立了莲池云安全“双控”建设平台，全区520多家工贸企业全部登陆平台，应急局、乡镇和街道办事处、有关职能部门可以通过平台实时监控所辖企业双控运行情况。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-10-16 06:51:09,同花顺
7,提升采购活动的质量效率及企业整体竞争力 中国通用与中国盐业联合发布“一网一系统”,"本报讯 记者周雷报道：由中国通用技术集团和中国盐业集团有限公司主办，中国通用咨询投资有限公司承办的“中国通用招标网·中盐电子采购系统”日前在京上线。
中国通用技术集团与中国盐业集团联合发布的“中国通用招标网·中盐电子采购系统”，是两家央企携手推进信息化建设与管控体系深度融合、实现数字化转型的又一合作成果，是央企“对标世界一流管理提升行动”“着力优化供应链管理，持续提升采购的集约化、规范化、信息化、协同化水平”的积极尝试，对促进企业供应链采购提质降本增效、提升产业链现代化水平起到良好的示范作用。
中国通用技术集团总经理、党组副书记陆益民表示，“一网一系统”对提升采购活动的质量效率及企业整体竞争力提供了重要支撑，希望通过“一网一系统”的上线运行，为中国通用技术集团与中盐集团及广大商界朋友拓展新的合作空间。
中国盐业集团党委书记、董事长李耀强表示，中盐电子采购系统上线后，中盐集团将充分利用这一抓手，进一步提高中盐集团采购管理水平，助力中盐集团的提质增效工作，不断推动企业高质量发展。
据悉，中国通用招标网是国内最早建设的第三方全电子招标采购平台之一。由中国通用技术集团投资、中国通用咨询投资有限公司承建并运营。今年年初，通用咨询启动了中国通用招标网的全新升级改造，系统建设遵循技术先进、体系灵活、可扩展性强、稳定性高的原则，融合大数据、5G、AI和区块链等先进技术的应用，并采用私有云部署。
中盐电子采购系统（以下简称“中盐系统”）以中国通用招标网为底层架构，根据中盐集团的需求定制化开发而成。中盐系统的建设遵照国家相关政策、法律法规，结合集团地域广、业务复杂的特点，功能设计融合和借鉴了中国通用招标网、其他大型央企相关采购业务经验，引入谈判采购、竞价采购、磋商采购等企业特色的采购方式，提高了采购管理规范化、精细化、科学化水平，在提升采购活动公开、透明度的同时显著提高业务人员采购效率。
目前，中盐系统已经实现从采购计划集团管控到采购过程全过程无纸化、采购合同在线签署、合同订单在线履行等全链条的在线无纸化采购管控，这进一步提升了中盐集团采购供应链管理集约化、规范化、信息化水平。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：zjl",2020-10-16 06:48:44,同花顺
8,“互联网＋”激活发展新动能,"图① 日前，广西柳州市融水苗族自治县发布县域电商农产品公用品牌“糯香融”。图为工作人员在展示融水特色产品。 新华社记者 黄孝邦摄
图② 近年来，重庆市北碚区积极推动互联网、大数据、5G、人工智能和实体经济深度融合。图为正能机械有限公司车间内，机器人生产数据将全部汇总至车间工业互联网“驾驶舱”。 秦廷富摄（中经视觉）
图③ 河南尉氏县十八里镇对建档立卡贫困户、返乡务工人员、留守妇女进行“网创”培训，帮助群众脱贫致富。图为培训班教师在授课。 李新义摄（中经视觉）
如果说5年前，人们只是感受到互联网让生活变得更加便利的话，5年后，在新冠肺炎疫情的影响下，数字社会建设加快推进，互联网已经全面融入百姓日常生活。
互联网+零售、互联网+餐饮、互联网+医疗、互联网+教育……“十三五”时期，是中国互联网蓬勃发展、硕果累累的5年。5G通信从无到有，网络、信息等技术加速向产业渗透，平台经济、共享经济蓬勃发展，线上线下快速融合，互联网以不可阻挡之势，与各行各业全面融合。
今年是全面建成小康社会和“十三五”规划的收官之年，是网信事业全面提升的新起点。这5年，我国网信事业取得历史性成就，网络强国建设迈上新台阶，信息领域核心技术不断突破，网络惠民利民便民红利充分释放。
基础设施建设持续完善
今年5月27日11时，珠峰高程测量队成功登顶，通过5G信号完成了一次世界海拔最高的直播。那一刻，人类利用互联网的纪录又一次被刷新，不同的是，这一次的纪录是中国人创造的。
在网络的另一端，有数以千万计的网友通过5G+云网技术见证“中国高度”。这是继今年2月亿万“云监工”通过5G+云网技术见证火神山、雷神山医院建设的“中国速度”后，又一个重要网络事件。
“十三五”期间，我国新一代信息基础设施实现了跨越式发展，移动通信在2G跟随、3G突破、4G赶超的基础上，实现了5G引领，建成了全球最大的固定光纤网络、4G网络，IPv6规模部署提速，天地一体化信息网络加快构建。
《数字中国建设发展进程报告（2019年）》显示，我国IPv6规模部署取得长足进步，截至2019年底，IPv6活跃用户数达2.7亿，占互联网网民总数的31%，已分配IPv6地址用户数达13.92亿。5G商用全面提速，截至2019年12月底，我国已开通5G基站13万个，5G用户快速增长。北斗三号全球卫星导航系统开通，全球范围定位精度优于10米，北斗三号卫星核心部件国产化率100%，北斗相关产品已出口120多个国家和地区。
基础设施建设的加快让更多人享受到网络红利。截至今年3月，我国网民规模达9.04亿，较2018年底增长7508万，互联网普及率达64.5%，较2018年底提升4.9个百分点。其中，农村地区互联网普及率为46.2%，较2018年底提升7.8个百分点，城乡之间的互联网普及率差距缩小5.9个百分点。
中国互联网络信息中心主任曾宇表示，2019年，我国已建成全球最大规模光纤和移动通信网络，行政村通光纤和4G比例均超过98%，固定互联网宽带用户接入超过4.5亿户。同时，围绕高技术产业、科研创新、智慧城市等相关新型基础设施建设不断加快，进一步加速新技术的产业化应用，并催生新的产业形态，扩大了新供给，推动形成新的经济模式，将有力推动区域经济发展质量提升和产业结构优化升级。
数字经济成新增长点
“买它，买它！”
在“带货”主播们亢奋而又接地气的叫卖声中，“6·18”网络购物节释放着人们的消费热情。数字经济的全面发展，激发了我国消费市场的惊人能量。
这样的爆发还有很多。疫情防控期间，从新业态的涌现到新消费的扩展，从新就业的创造到数字化的发展，中国经济出现了一系列积极的新特点、新趋势、新机遇。
“十三五”期间，数字经济蓬勃发展，已经成为经济发展的新增长点。截至今年3月，我国网络购物用户规模达7.10亿，2019年交易规模达10.63万亿元，同比增长16.5%。数字贸易不断开辟外贸发展的新空间。2019年，通过海关跨境电子商务管理平台零售进出口商品总额达1862.1亿元，增长了38.3%。数字企业加速赋能产业发展。数字企业通过商业模式创新、加快数字技术应用不断提升供应链数字化水平，为产业转型升级提供了重要支撑。
曾宇指出，庞大的网民构成了中国蓬勃发展的消费市场，为数字经济发展打下了坚实的用户基础。当前，数字经济已成为经济增长的新动能，新业态、新模式层出不穷。在此次疫情中，数字经济在保障消费和就业、推动复工复产等方面发挥了重要作用，展现出强大的增长潜力。
数据显示，今年初，大部分网络应用的用户规模呈现较大幅度增长。其中，在线教育、在线政务、网络支付、网络视频、网络购物、即时通信、网络音乐、搜索引擎等应用的用户规模较2018年底增长迅速，增幅均在10%以上。
国家信息化专家咨询委员会委员、中央党校（国家行政学院）教授汪玉凯认为，我国互联网产业拥有庞大的消费市场、企业和技术基础，在后疫情时代将迎来新一轮快速发展的历史机遇，互联网产业将呈现全新的蓬勃发展态势。其中，消费互联网向产业互联网加速升级，产业数字化转型进程将不断加快；万物互联将形成大连接，进一步推动互联网红利共享；平台经济大生态将更加丰富，对实体产业转型的赋能作用将持续凸显。
群众获得感不断提升
贵州是传统劳务输出大省，但遵义市正安县却有大量务工者返乡就业。这一变化的起因是这里出现了一个专做吉他的“淘宝村”，一年通过互联网卖出了800万把吉他。吉他产业带动就业的同时，也拉动了当地餐饮、娱乐等服务业发展。
以前走出大山的人，正在因吉他淘宝村回乡。唐玉江回到家乡成为吉他装箱工人之前，曾辗转各地打工，给患病的儿子赚医疗费。他说：“现在这个工作太好了，风吹不到、雨淋不到，还能在家照顾孩子，也很受大家尊重。”像唐玉江一样依靠淘宝工厂脱贫的人还有很多。
正安县的发展是网络扶贫加快弥合数字鸿沟的一个缩影。在中央网信办、国家发展改革委、工业和信息化部联合印发的《2019年网络扶贫工作要点》指导下，网络覆盖工程深化拓展，网络扶贫与数字乡村建设持续推进，数字鸿沟不断缩小。随着我国“村村通”与“电信普遍服务试点”两大工程的深入推进，广大农民群众逐步跟上互联网时代的步伐，同步享受信息社会的便利。
今天的中国，近10亿网民随着互联网的发展不断提升获得感。网信事业要发展，必须贯彻以人民为中心的发展思想。“十三五”期间，我国互联网应用与人民群众生活结合日趋紧密，微信、短视频、直播等应用降低了互联网使用门槛，不断丰富群众的文化娱乐生活；在线政务应用以民为本，着力解决群众日常办事的堵点、痛点和难点；网络购物、网络公益等互联网服务在实现农民增收、带动广大网民参与脱贫攻坚行动中发挥了重要作用。
党的十九大制定了面向新时代的发展蓝图，提出要建设网络强国、数字中国、智慧社会，推动互联网、大数据、人工智能和实体经济深度融合，发展数字经济、共享经济，培育新增长点、形成新动能。
伴随着信息技术日新月异的发展，我国正加快迈向网络强国。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：zjl",2020-10-16 06:48:32,同花顺
9,中老铁路国内段完成投资近九成,"本报北京10月15日电（记者聂传清）记者从中国铁建（601186）股份有限公司获悉，15日，中老昆（明）万（象）铁路重点工程――国内玉磨段铁路南联山隧道贯通。目前，中老铁路国内段完成投资近九成。
据中铁二十二局集团该项目部经理王冠英介绍，位于云南西双版纳傣族自治州的南联山隧道为单线隧道，全长9850米，地质条件复杂，施工中涌水、变形等十分常见。面对施工难题，项目技术小组邀请有关专家多次会诊、论证，并经过反复试验，创新施工方案，最终攻克了40余项技术难题，并形成了一套我国西南地区风化围岩隧道掘进综合施工技术。
中老昆万铁路是一条以中方为主投资建设、全线采用中国技术标准、使用中国装备并与中国铁路网直接连通的国际铁路，全长1000多公里。国内玉磨段为国家I级电气化铁路，设计时速160公里。截至目前，中老铁路国内段93座隧道已贯通82座，国内段隧道工程已完成97.6%。
截至今年9月底，中老铁路国内段年累计完成投资91.2亿元，开工以来累计完成投资454.6亿元，完成投资计划近九成。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：zjl",2020-10-16 06:47:23,同花顺
