,title,content,pub_time,src
0,美国劳工部将永久性结束媒体提前获悉经济数据的做法,"北京时间5月20日消息，美国劳工部周二表示，在冠状病毒大流行期间暂停让新闻媒体提前查看经济数据之后，未来将永久性停止这种做法。
劳工统计局局长William Beach在通过电邮发送给新闻机构的一封信中表示：“持续的安全、资源和公平问题”超过“媒体封闭程序的任何好处”。
Beach写道，自3月份由于病毒大流行而暂停所谓的媒体封闭措施以来，“尽管不再能够提前获得数据，但媒体展示了他们在数据发布到劳工统计局网站的几分钟内写出详实且准确文章的能力。”
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-05-20 03:46:01,同花顺
1,一站式服务科创企业的“搭桥人”,"证券时报记者朱凯
自去年7月22日科创板开板以来，目前已上市公司达到104家。一些科创板公司负责人对记者说，在上市过程的早、中期阶段，企业缺的不仅是资金，更需要有“懂行的人”拉一把扶一下。他们说，企业与交易所，就像是运动员与裁判员，角色定位决定了直接接触存在诸多不便。企业希望有便捷的通道，可以搭起地方政府、交易所、金融机构、中介机构之间的桥梁，企业需要这样“一站式”的协助和服务。
位于上海浦东张江科学城的长三角资本市场服务基地，就是一个这样的主体。证券时报记者了解到，从去年4月10日启动以来，该基地已组织135场接待和培训，“一对一”服务企业累计300多家。
“如果把登陆科创板比作高考，那么我们服务基地就是复习班。”上交所发行上市服务中心业务副总监、长三角资本市场服务基地办公室主任胡日新对记者说，服务基地去年组织过三期“上市问诊”直播培训，请来各类专家为企业答疑解惑。他认为，建设长三角资本市场服务基地，让它成为发现和培育长三角优质科创企业的重要载体，为科创板注册制提供源源不断的“活水”。
为企业“搭桥”
记者统计发现，截至5月19日，包括通过上交所审核、注册成功、已完成上市交易等环节的科创板企业已达143家，其中，注册地为长三角三省一市的公司62家，占比约43%。这些科创企业中，来自江苏的公司28家，浙江11家，安徽3家，上海20家。
占据“入围”企业半壁江山的长三角地区，是我国经济发展最活跃、开放程度最高、创新能力最强的区域之一。2019年12月，中共中央、国务院印发《长江三角洲区域一体化发展规划纲要》，国家战略进一步落实。
由上海浦东新区政府与上交所共同发起的长三角资本市场服务基地，于2018年11月14日揭牌，2019年4月10日正式启用。作为发现和培育优质科创企业的载体，长三角资本市场服务基地发挥着积极作用。在上交所设立科创板并试点注册制，恰是长三角一体化发展在资本市场的鲜明体现。
胡日新告诉记者，基地现拥有覆盖长三角地区的3000多家储备企业，将其按照科创板相关指标进行分类后，再甄选了200多家较为突出的企业作为首批调研服务对象，建立“项目推荐库”。据介绍，基地计划在今年底扩充服务储备企业至5000家。
他介绍，拟上科创板企业直接与上交所接触存在不便，而服务基地最重要的功能就是搭桥，这包括行政综合服务、股权投资对接以及金融、资本市场中介等机构的对接服务。“企业进入资本市场之前，可能会遇到各类问题并产生各种需求，服务基地拥有券商、股权投资机构、法律机构、会计师事务所、税务机构等联盟成员资源，有条件为拟上市企业提供全方位、多维度的专业服务和培训指导。”
“我们就是高考复习班，为企业提供专业系统培训以及有针对性的辅导。”胡日新说，上交所发行上市服务中心的工作人员，可以为企业普及资本市场合规性方面的知识。此外，基地还邀请具备科创板审核实操经验的专家，为企业进行包括公司治理、财务、法律等多方面的培训。
长三角资本市场服务基地现场运营负责人许黎蓓告诉记者，基地每季度举办一场特定行业的专题路演，由加入服务基地联盟的20多家头部投资机构出面，与企业进行问询、对接服务。她介绍，每次活动都吸引了上百家投资机构慕名而来，而且数量越来越庞大。
打通长三角
除了企业本身，长三角地区各地方政府也表现出对这一培训资源的极大关注。许黎蓓告诉证券时报记者，作为长三角资本市场服务基地的6个核心联盟城市之一，无锡积极召集各个地级市的拟上市公司组团接受培训。另一个核心联盟城市南通，不仅自发申请成立了服务基地分中心，还多次以带领企业路演的模式进行主动合作。据介绍，服务基地也会按照不同项目的行业特点，为其匹配包括投行、法律、税务等方面的咨询服务。
去年11月，上海市委书记李强视察服务基地时提出，基地要紧紧抓牢长三角一体化发展国家战略和设立科创板并试点注册制的重大机遇，在精准对接、精准服务上下更大功夫，积极引导各类资本投资优秀科创企业，发现培育更多“硬核”上市资源。
对拟上市企业来说，服务基地提供的各类咨询、辅导服务，由于资源的特殊性，企业自己很难通过其他渠道获得。“投资机构也希望在我们这里寻找和获得优秀项目。同时，面对投资机构，例如对项目的基本判断、科技属性如何等等，我们也可以提供专业支持。”胡日新告诉记者，服务基地邀请行业专家来做辅助论证与评估，完全可以做投资机构的“外脑”。
据介绍，银行机构与服务基地的合作积极性一直很高。之前有一家在香港上市的新加坡企业想来A股上市，在服务基地的撮合下，中国建设银行与这家企业进行了洽谈，随后大家一起做了具体方案。企业觉得非常满意，谈完后就在基地办公室与建行签约。许黎蓓认为，这也是金融机构为企业提供个性化服务的一个体现。
据悉，今年4月29日，长三角资本市场服务基地与招商银行在长三角区域的9家一级分行，签署了《金融支持科创企业上市发展全面战略合作协议》，双方将共同推进基地上市后备库建设，支持长三角优质科创企业登陆科创板。
胡日新表示，秉持公平、开放、规范、共享理念，长三角资本市场服务基地将建成发现和培育长三角优质科创企业的重要载体，打造成为助推企业到科创板上市融资的服务平台，努力为资本市场制度创新、进一步深化改革开放、推动高质量发展做出积极贡献。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-05-20 03:43:33,同花顺
2,财政收支压力缓释 基建稳增长势头强劲,"证券时报记者魏书光
财政部最新公布的4月财政收支情况显示，财政收入降幅明显收窄，财政支出增幅由负转正，基建稳增长发力明显，财政政策的逆周期调节作用正在显现。
伴随企业复工复产加速，4月财政收入下降15%，较3月跌幅26.1%明显收窄。4月财政收入增速回升和当月国内经济增速回升一致。应该说，疫情对财政收入压力最大的时候已经过去，财政收入正在随着经济逐步恢复而改善。未来随着经济逐步向好，财政收支压力将进一步减小。
此外，4月一般公共预算支出也由前值的-9.4%大幅回升至7.5%，而政府性基金支出也由前值的52.4%进一步加快到70%。这表明复工复产过程中地方发力稳增长，同时中央对地方转移支付力度加大，一些重点基建项目加快启动。同时，与项目投资建设密切相关的耕地占用税、契税增速大幅提高129.3和43.3个百分点，也表明地方基建稳增长明显发力。
开工情况在建材市场中也有迹可循。作为地产基建稳增长的重要原料，粗钢的全国产量在4月环比增长7.7%，复苏态势明显，与其他宏观经济指标大幅下滑形成较大差异。螺纹钢消费达到480万吨，环比上涨17%；水泥企业发货量同比上升6.4%，创下近3年最高水平；进口铁矿石同比增长20%，创下18年来新高。
综上数据来看，基建投资增速在大幅上涨，财政支出增速明显加快，发力稳增长势头强劲。那么，未来情况会如何发展？5月份，1万亿元专项债迎来发行高峰，从用途来看，仍然以农林水利、交运等基建相关项目为主。近日发布的《中共中央国务院关于新时代推进西部大开发形成新格局的指导意见》中更是强调，要强化基础设施规划建设，加强横贯东西、纵贯南北的运输通道建设，拓展区域开发轴线，强化资源能源开发地干线通道规划建设。可以预期，基建投资势头有望进一步增强。
全国“两会”召开在即，财政政策仍将是市场关注的热点。“保就业”要求下的财政逆周期调节，将成为今年宏观主基调之一。基建投资作为托底经济的投资力度料将持续加强，成为相对确定性的政策受益领域。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-05-20 03:42:06,同花顺
3,美国国会预算办公室上调来年GDP预估 对就业市场前景依然悲观,"北京时间5月20日消息，美国国会预算办公室表示，尽管冠状病毒所带来的冲击将对劳动力市场产生长期影响，但美国经济在2021年的增长率料将高于先前预测。
该无党派机构的最新经济预测显示2021年GDP按第四季同比计算将增长4.2%，今年则料下滑5.6%。相比之下，其在4月24日的初步预测显示明年经济将增长2.8%。
与此同时，预计今年失业率平均为11.5%，2021年仅略有改善，至9.3%，略低于2007-2009年经济衰退期间达到的最高水平。冠状病毒对经济的影响将在未来几年持续存在，特别是对于那些刚刚进入劳动力市场的人。
国会预算办公室表示，“2020年就业人数的减少以及高失业率将持续到2021年，可能会对年轻一代的就业前景和收入产生负面影响，并且会在未来很长时间都有影响。”
第二季度经济料将出现历史性的37.7%年率萎缩，略低于最初的预测。该机构仍预计今年下半年总体经济活动将反弹。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-05-20 03:35:51,同花顺
4,奢侈品“扎堆”涨价：门店顾客寥寥 购买热度急速“降温”,"此前，国际奢侈品将陆续涨价的传闻不断发酵。消息一出，LV、香奈儿等品牌在中国的门店频现顾客排队购买潮。不过，待门店正式完成调价后，相关奢侈品品牌店的线下顾客购买热度急速“降温”。
中新网记者15日下午在位于上海恒隆广场的香奈儿品牌店内看到，香奈儿已正式完成了相关商品的调价工作，门店外排队现象不在，店内顾客寥寥。据店员透露，此次涨价并非涉及全部商品，经典款价格上涨幅度较大。店员就店内其中一款经典款手袋做比较，在今年调价前售价为42600元(人民币，下同)，此次调价后涨至48900元，涨价约15%。
(image_address=""http://e.thsi.cn/img/32724332640547ad"")
一季度，LV集团全球销售额因疫情而出现同比下滑15%。康玉湛摄
“其实前两天就已经售空了，只要是经典款就都没了，无论是羊皮还是牛皮都没有。我们是今天一早才有经典款补货的，但是今天已经在价格上做了涨价调整”，该店员强调说，香奈儿价格是年年都有涨幅的，这次调价在她们看来并无太多特别之处。
由于疫情等多重因素影响下，奢侈品行业近来“组团”以涨价方式“自救”。据悉，LV、香奈儿、迪奥等法国路易威登(LVMH)集团旗下品牌全线跑入涨价“阵营”，其中LV已经在两月内调价两次。有奢侈品代购对记者表示，奢侈品品牌每年都有调价，幅度在10%左右，不过今年的涨幅较往年高出不少。
(image_address=""http://e.thsi.cn/img/deac77ffd58c6298"")
上海香奈儿已完成调价工作，门店外排队现象不在。康玉湛摄
据悉，一季度，LV集团全球销售额因疫情而出现同比下滑15%。其中，除日本之外的亚洲市场销售额同比下滑32%，日本和欧洲市场均下滑10%，美国市场下滑8%。LV集团方面表示，其在中国大陆的销量在4月份大幅上涨，同比涨幅超过50%，预计全球其他市场的销量将在5月或6月逐步复苏。
对此，奢侈品专家、要客研究院院长周婷认为，今年在疫情尚未结束的情况下的涨价其实是非常敏感的，短期内或对部分消费者产生一定的刺激消费作用，但并不可成为头部品牌的长期策略，“以前奢侈品牌每年都有一两次例行的涨价，但今年情况比较特殊，尤其是疫情还未结束。如何能够保证销售，促进利润率的提高，是所有的大牌的最主要的目的。涨价短期内可能甚至会让一部分顾客赶在涨价之前去排大队买奢侈品包包，但从长期来讲这种作用是起反作用的”。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-05-20 03:24:55,同花顺
5,甬舟一体化：七项成效亮眼,"中国经济导报、(image_address=""//comment.10jqka.com.cn/sourcepic/12/1tC5extagrei1bnNextagAtsaytsay.png"")记者孙弋弋
谋划推进甬舟一体化发展，是浙江省委省政府贯彻落实长三角一体化发展战略、加快“四大”建设的重大决策，也是甬舟两市党委政府的共同愿景。
宁波市发改委主任张文杰告诉记者，宁波与舟山强化合作，以清单式、项目化推进机制推进甬舟一体化落实，目前，已经有了实质性进展。10个重大平台中，舟山江海联运服务中心等3个已落地；20个重大项目中，舟山500KV联网北通道第二回输电线路宁波段已建成，今年开工或续建16个；一批重大事项稳步推进。
深化港口一体化
深化港口一体化是宁波和舟山推进甬舟一体化的一项极为重要的工作。
推进甬舟一体化过程中，主要是聚焦宁波舟山港一体化2.0，加快两市港口建设、交通组织、港口监管、航运服务等领域一体布局。实现核心港区船舶交通组织协同，进一步提升虾峙门、条帚门航道进港船舶报告率、引航登轮15分钟准点率和集装箱码头泊位计划兑现率。实施船舶跨港域供受油作业一体，2019年宁波港（601018）域保税油供油批次、供油量分别增长一倍以上。实现两地口岸报关(检)一体，启动运输工具(船舶)全国通关一体化，简化境内续驶船舶进出港申报程序。杭州海关、宁波海关签署了合作备忘录，建立4项日常磋商机制。建立航道、锚地建设资金投入长效机制，虾峙门口外30万吨级人工航道扩建工程工可获批、出资方案明确。舟山江海联运服务中心加快建设，保税燃油、混配矿、大宗交易平台铁矿石挂单等业务大幅上升。
加强基础设施互联互通。
以提高城际联通便捷度为目标，宁波谋划推进了一批铁路、高速公路、能源管线、水利工程项目建设。甬舟铁路完成可研批复和初步设计，陆上段通过铁总鉴定中心审查，宁波段线站位方案基本稳定，局部征迁启动。甬舟高速复线线位方案论证通过专家评审，舟山段完成工可评审，宁波段完成线位论证。六横公路大桥前期工作加快推进，一期工程宁波段计划先行启动。舟山500千伏联网北通道(镇海)两回海缆线路及南通道(北仑)两回架空线路先后投运。宁波—舟山大陆引水三期工程施工许可审批和政策处理工作进展顺利。
提升开放联动发展
推动现有高能级开放平台甬舟两市联动，共同打造长三角区域对外开放新高地。开展浙江自贸区宁波片区建设方案研究，获批浙江自贸区联动创新区。强化政策复制，应用202条全国自贸区政策、谋划10条创新举措。推动17+1经贸合作示范区向舟山延伸，组织70多家舟山企业参加中东欧博览会特色商品展，推动达成多个协议，浙江大洋世家股份有限公司等项目实现签约。强化国家级供应链创新与应用试点协同发展，推动舟山对接宁波全球贸易通平台。共同申报港口型国家物流枢纽，成功获批。同时，强化产业协同发展，签订了共同推进舟山海洋经济发展等协议，会同舟山、义乌共同举办中国科学院“一带一路”义甬舟大通道学术论坛，推进中科院宁波材料所(舟山)技术转移中心建设，引导宁波一批企业到舟山投资。
促进公共服务共建共享
立足提升群众获得感，甬舟两市谋划实施旅游、教育、医疗等一批同城化公共服务举措。联合推出“雪窦山—普陀山”、“海上丝绸之路”等文化之旅，“旅游惠民季”“2019市民旅游日”等活动覆盖两市60多个景区。推动甬舟教育数字资源互通，共享宁波智慧教育学习平台。浙江国际海运职业技术学院等舟山高校加入“一带一路”产教协同联盟，宁波乔治亚外籍人员子女学校招生覆盖舟山。两地分别有102家、25家医院纳入省异地就医结算平台。大力保障舟山用血安全，为舟山检测血液标本5.4万余份。实现中药饮片同城同价、特殊病门诊刷卡直接结算。两地公交卡实现互通，客运班线已达7条。
推动人才合作共赢
甬舟两市排摸了人才合作实际需求，出台《甬舟人才一体化发展方案》，与舟山签订人才一体化合作协议。启动建设浙江创新中心，建成甬江人才创新中心，对舟山人才项目给予不改变注册地、同城服务等支持。建立中初级职称证书互认、人才对接交流等机制，邀请舟山参加2019人才科技周，推出岗位2536个，达成就业意向817个。推动人才服务同城化，对舟山高层次人才在落户、子女教育、医疗服务、交通出行等方面给予同城待遇，支持创新券通用。
推进社会治理联防联控
围绕生态环境共保共治目标，甬舟共同开展陆、海、气、固等联防共治行动。把宁波渣土消纳和舟山围填海工程需求有机结合，建立合作机制。建立石化产业环境风险应急响应联动机制，开展突发环境事件指挥体系应急演练桌面推演。以“甬舟同标”“甬舟同质”为标准，实施一网申报、甬舟通办，实现新开办企业异地办理。依托“国家企业信用信息公示系统”数据平台，实现两地市场主体信用信息统一归集、依法公示。建立欠薪失信“黑名单”联合惩戒体系，实现了黑名单信息共享和跨区域惩戒。
积极谋划甬舟合作大平台
两市把甬舟合作大平台作为甬舟一体化的标志性平台，加强研究谋划，与舟山共同成立了工作专班，专门委托开展了平台的开发建设方案、产业发展和功能定位等研究。
宁波市发改委主任张文杰表示，今年会大力推进一批标志性平台、项目和事项，努力把甬舟一体化打造成长三角一体化发展样板。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-05-20 03:24:03,同花顺
6,纽约州长允许Albany重新开放称长岛取得巨大进展,"纽约州长库莫表示Albany地区准备好开始重新开放，长岛向结束封锁方向取得巨大进展，全州因新冠病毒住院、插管、新增住院和新增死亡患者数量继续下降。
库莫在周二举行的新闻发布会上表示，Capital区域是全州10个大区中第七个满足开放标准的地区。长岛、纽约市和Mid-Hudson地区仍在继续实施封锁措施。
库莫在Feinstein Institutes for Medical Research举行了关于长岛状况的简报会。他表示，两周前，长岛平均每天有100名居民因新冠病毒死亡，现在平均为13人。纽约州范围内，5月18日新冠死亡人数为105人，比前一天少1人，远低于4月799人的最高水平。
今天的消息很好。库莫表示。我们基本上回到了这场悲剧降临到我们头上之前的水平。
库莫称，长岛拿骚县现在有资格开展选择性手术和门诊治疗。全州有16家医院，包括纽约市的一些医院正在启动为期两周的试点计画，允许患者的家庭成员和密友亲人增加探访。探望病人有时间限制，必须穿戴个人防护设备并接受症状和体温检查。
纽约州正在为即将到来的阵亡将士纪念日重新开放海滩。库莫周二表示，地方政府可以举行不超10人的节日庆典，允许车辆游行。
库莫称，疫情带来的一个积极结果是公共交通系统将大大改善。纽约州和纽约市已加强对地铁和巴士的清理，以保护依赖公共交通系统出行的必要行业就业人员。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-05-20 03:21:13,同花顺
