,title,content,pub_time,src
0,美国2018年燃油效率创纪录 众车企交易“积分”,"美国汽车在2018年创下了燃油效率的记录，在现实驾驶中平均每加仑行驶25.1英里，燃油效率每加仑上升0.2英里。
美国环境保护署(EPA)表示，美国汽车在2018年创下了燃油效率的记录，在现实驾驶中平均每加仑行驶25.1英里，燃油效率每加仑上升0.2英里。初步预计将在2019年跃升至25.5英里。
EPA和美国国家公路交通安全管理局(National Highway Traffic Safety Administration)正努力敲定相关规定，将奥巴马时代的要求推迟到2026车型年。官员们希望在4月1日前敲定新规则，但仍在努力解决剩下的问题。
该报告还显示，菲亚特克莱斯勒汽车公司购买了大量的汽车排放信用额度，而特斯拉、本田和丰田则出售了这些信用额度。此外，戴姆勒汽车，大众汽车和宝马汽车也购买了信用额。
在13家最大的汽车制造商中，只有大众和现代汽车在2018年的平均燃油经济性下降，原因是它们售出了更多的SUV和更少的汽车。
安全气候运动(Safe Climate Campaign)负责人丹.贝克尔(Dan Becker)表示，汽车制造商远未达到他们本应在2018年实现的每加仑1英里的改善目标。”这些规定应该得到加强，以减少污染，并为消费者节省开支。
EPA局长安德鲁.惠勒(Andrew Wheeler)指出，每年的小幅增长证明奥巴马时代的要求是“不可行的”。
一个代表几乎所有主要汽车制造商的组织表示，这份报告“展示了存在的市场挑战”，并指出大多数汽车制造商需要依靠信贷来满足2018年的要求。
特朗普政府在2018年8月提出，将2020年至2026年的燃油效率标准冻结，抹去2012年颁布的提高标准。但参议员汤姆.卡珀(Tom Carper)今年1月表示，目前正在定稿的提案草案将使美国汽车排放标准的严格性从2021年到2026年的车型年每年提高1.5%。
卡珀说，到2030年，草案将使车队平均燃油效率达到每加仑40.5英里。美国政府2018年的提案到2026年平均燃油效率达到37英里/加仑，而根据奥巴马的规定，这一数字为46.7英里/加仑。
美国政府辩称，出于经济和安全原因，削减开支是必要的，但加州和环保人士对此表示反对，称消费者将在燃料成本上多花数千亿美元。
美国环保署科学咨询委员会(EPA science advisory board)周一公布的一份分析报告发现，特朗普政府提出的回滚计划“在科学分析方面存在重大缺陷”，通过预测加价将导致“汽车行业整体规模的不合理结果”，这将导致汽车“在通常预期会缩减的情况下大幅增长”
环保署表示，当最终确定“支持最终规则制定的分析将公开”，政府将对所有评论作出回应。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 10:59:03,同花顺
1,提升金融服务保障能力 贡献金融基础设施力量,"在当前全国上下协力抗击疫情的关键时期，中央结算公司将继续坚定信心与决心，集中力量、积极应对，不遗余力加强高质量金融服务保障能力，与市场机构同舟共济、共克时艰，为打赢疫情防控阻击战持续贡献金融基础设施力量。
1.《中央结算公司成功支持节后首场国债招标发行》
2.《同力协契 共克时艰 中央国债登记结算公司支持215亿疫情防控主题政策性银行债券发行》
3.《企业债管理推出重大举措 坚决打赢疫情防控阻击战》
4.《中央结算公司成功支持春节后首场地方政府债券招标发行》
5.《中央结算公司多措并举支持渤海证券、华西证券短期融资券招标发行》
6.《中央结算公司支持节后首场企业债券簿记建档发行》
7.《同舟共济 共克时艰 中央国债登记结算公司成功支持湖北省政府债券发行》
8.《同舟共济 共克时艰 中央结算公司上海总部成功支持上海市政府债券发行》
9.《中央结算公司支持湖北交投发行全国首单疫情防控企业债券》
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：xr",2020-03-03 10:58:28,同花顺
2,胡春华强调 全力做好稳外贸稳外资和生活必需品保供工作,"全国商务系统应对新冠肺炎疫情做好商务工作电视电话会议28日在北京召开。中共中央政治局委员、国务院副总理胡春华出席会议并讲话。他强调，要深入学习贯彻习近平总书记在统筹推进新冠肺炎疫情防控和经济社会发展工作部署会议上的重要讲话精神，按照党中央、国务院决策部署，千方百计克服疫情影响，切实稳住外贸外资基本盘，保障生活必需品供应，为经济社会发展大局作出积极贡献。
胡春华指出，紧紧围绕疫情防控大局，全力做好稳外贸稳外资和保障生活必需品供给工作，是当前商务系统的重要任务。要确保重点地区生活必需品供应，用好市场和政府两方面力量，保障市场平稳运行。要把稳外贸放在更重要位置，稳妥有序推动外贸企业复工复产，保障产业链、供应链畅通运转，推动各项支持政策尽快落地。要更加积极有效利用外资，着力稳住存量，抓好重大外资项目落地，创新招商引资方式。要统筹做好通关便利化和口岸疫情防控，确保重要物资通关顺畅，切实降低进出口环节成本，严防境外疫情输入。
胡春华强调，稳住外贸外资基本盘，关键是要稳住外贸外资企业。各地、各有关部门要紧紧围绕企业需求，提供更加精细化的服务，努力营造良好的内外部环境，帮助企业渡过难关、实现更大发展。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：jdm",2020-03-03 10:50:07,同花顺
3,广东珠海 “暖企十条”助力企业复工复产,"广东珠海作为经济特区，外来人口多、人员流动性大。当地在做好疫情防控的同时，出台了各项政策有序组织复工复产。
(image_address=""http://e.thsi.cn/img/a74b0b78236e0820"")
疫情发生后，珠海与一水之隔的澳门建立起了联防联控机制，两地每日互通病例信息、治疗方案、疫情防控措施以及口岸对接等事宜。截至目前，广东电网对澳门供电的单日最高负荷达到58万千瓦，相比复工后的第一周增长了11.5%。支持澳门经济适度多元发展，将疫情影响降到最低。
为了帮助企业尽快安全复工复产，珠海市出台了“暖企十条”，涵盖用工补贴、贷款贴息补贴、租金减免优惠等内容。其中，支持企业开展应急科技攻关，对研发生产抗新型冠状病毒药品诊断、设备等产品的研发项目给予最高100万元资金支持。
据了解，“暖企十条”政策同等适用于在珠海的澳资企业。目前，珠海超过半数的澳资企业已经复工复产，全市规模以上企业复工3105家，复工率超过71%。其中，工业企业复工1204家，复工率93.3%。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 10:48:58,同花顺
4,河北各地一批重点项目集中开工：涵盖高新产业、信息技术等,"在确保疫情防控的同时，各地有序加快复工复产的进度。3月2日，河北石家庄、邯郸、廊坊、邢台等地一批重点项目集中开工。
石家庄市开工的重点项目一共252个，总投资1624.2亿元，包括新一代信息技术、先进装备制造、生物医药健康、现代商贸物流等项目。在石家庄市石药集团重组蛋白高科技医药产业园项目现场，挖掘机等大型机械一起启动。
当天上午，邯郸市总投资913亿元的125个项目集中开工，开工现场上大型挖掘机来回穿梭，工人们进入紧张施工。总投资3.2亿元的涉县津澳光热热媒新材料产业园项目，广泛用于光热发电行业，产品填补国内空白，出口中东和欧美地区。
廊坊市103个重点项目3月2日也集体开工。在廊坊临空经济区临空金融大厦项目现场作业车辆集体鸣笛，廊坊临空经济区总投资157亿元的9个重点产业项目开工建设。
在邢台市开发区14个亿元以上重点项目集中开工，总投资48.85亿元，战略性新兴产业、高新技术产业等一批重大项目的开工，为当地实现高质量赶超发展增添动力。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 10:48:55,同花顺
5,郭永航到高新区调研检查企业复工复产和疫情防控工作,"本报讯记者李栋通讯员朱宗报道：3月2日下午，市委书记、市新冠肺炎防控指挥部总指挥郭永航到高新区，就深入贯彻落实习近平总书记关于统筹推进疫情防控和经济社会发展工作的重要讲话精神，继续毫不放松抓好疫情防控工作，加快推动企业复工复产和重点项目建设进行调研检查。
唐家汽车客运站以珠三角、粤东、粤北等城市线路为主，2月24日起恢复运营，随着企业复工复产，返珠人员逐渐增多，客流量也随之攀升。郭永航实地查看班次恢复、客流量、旅客进出站检测、公共区域消毒等情况，听取我市公共交通保障情况介绍。郭永航强调，要始终绷紧疫情防控这根弦，做到守土有责、守土担责、守土尽责，切实把各项防控工作落细落实落具体。要畅通交通“大动脉”，打通城乡“微循环”，推动城际客运、城市公共交通等道路运输服务有序运行，更好满足人民群众正常出行，为企业复工复产提供强有力保障。
欧比特（300053）宇航科技股份有限公司在加快复工复产的同时，积极响应防控物资生产号召，筹划建设5条口罩生产线，每天产能可达75万只。宝莱特（300246）医用科技股份有限公司主要从事医疗器械研发、生产和销售，目前已全面恢复生产，产能同比增长1.5倍。郭永航进车间、看产品、听介绍，详细了解复工复产和疫情防控情况，对企业积极履行社会责任、加快生产医疗防控物资表示充分肯定。他勉励企业在严格做好疫情防控工作前提下，科学有序生产，坚定自主创新，充分挖掘并不断扩大产能，努力实现更高质量发展。同时要开足马力生产更多高品质的医疗防控物资，为打赢疫情防控阻击战和改革发展大局作出积极贡献。
高新互通立交、兴业快线项目是我市重要的城市快速通道，目前已有序复工建设。郭永航来到项目施工现场，询问了解项目建设进展、员工返岗复工以及疫情防控等情况，现场协调解决建设中遇到的困难和问题。郭永航强调，重点项目建设事关发展全局，要坚定信心、攻坚克难，严格落实企业主体责任，高标准、严要求、高质量推进项目建设，全力以赴抢工期、抓进度，确保优质安全完成项目建设任务。党委政府要靠前服务，加强用工、土地、资金等要素保障，为重点项目加快建设创造更好条件。
市领导吴轼、张宜生参加调研检查。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：xr",2020-03-03 10:48:48,同花顺
6,2019年北京统计公报出炉！居民收入稳步增加,"3月2日，北京市统计局、国家统计局北京调查总队发布《北京市2019年国民经济和社会发展统计公报》显示，2019年末北京市常住人口2153.6万人，比上年末减少0.6万人。2019年北京市经济运行总体平稳，发展质量继续提升，需求结构持续优化。2019年北京市居民收入稳步增加，低收入农户人均可支配收入比上年增长20.2%。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 10:48:47,同花顺
7,疫情全球扩散+油价持续下挫 芳烃溶剂油市场雪上加霜,"原标题：疫情全球扩散+油价持续下挫 芳烃溶剂油市场雪上加霜
(image_address=""//comment.10jqka.com.cn/sourcepic/12/1tDT7tfK0bYtsay.png"") 深度观察
上周国际原油市场整体呈现阴跌局势，疫情在世界范围内出现迅速扩散，亚洲、中东地区、欧洲等地均出现快速恶化的趋势，加之俄罗斯继续拒绝对扩大减产表态，国际原油市场多头全线溃退，周内欧美元期货价格深跌至逾一年低点，截止上周五WTI期货收盘跌至47.09美元/桶，布伦特期货收盘跌至52.18美元/桶，较1月底价格下跌6%-9%左右。就国内成品油市场来看，截止2月28日，本轮成品油调价预测上涨90元/吨，但以目前原油现货价格估算，本轮调价最终存在搁浅的可能。
综上一系列的利空因素对本就弱势的芳烃溶剂油市场来说则是一记重创，据(image_address=""//comment.10jqka.com.cn/sourcepic/12/1tDT7tfK0bYtsay.png"")了解，1月中旬左右受国内传统农历春节假期的影响，超过90%以上的芳烃溶剂油生产厂家陆续停工放假，并且根据往年的经验多数炼厂也多在放假前适度囤积部分原料以备节后顺利开工，同时也会预留部分成品库存以备客户急需。
但由于今年国内疫情的爆发导致春节假期延迟，国内多个省份对于企业开工也出现一定的管控，直至2月中旬起芳烃溶剂油生产企业才陆续开工，芳烃溶剂油企业为了消化库存出现降价促销的措施，不过下游行业及物流运输行业方面并未完全恢复，市场几无明显成交，随着2月下旬物流运输行业陆续解禁后，芳烃溶剂油市场资源流通方面有所起色，但受国际油价的连续5个工作日下挫的利空影响下，市场观望情绪肆起，更无采买意愿，芳烃溶剂油市场价格被迫继续下滑，加之多数企业的原料仍是1月份的囤货，因此目前成品价格持续走跌导致多数企业已陷入亏损中，场内一片哀声怨道，而在买涨不买跌的心态指引下，降价销售的实际效果并不明显。
(image_address=""http://e.thsi.cn/img/374900160b7bc79d"")
从上表中可以看出，2月份国内芳烃溶剂油市场价格已出现近10%左右的跌势，但实际成交情况依旧不容乐观，下游虽陆续有所恢复生产，但对于原料的采购较为谨慎，压价现象时有发生，贸易商方面也多暂时消化前期库存为主，目前在国际油价阴跌的利空影响下也多持币观望为主。
近期二甲苯市场方面亦呈现弱势下行的走势，截止2月28日华东地区异构二甲苯价格区间4780-4980元/吨的低位运行。原料C10方面表现依旧较差，在芳烃溶剂油市场持续疲软的利空制约下，不排除3月份C10价格仍有高位回落的可能出现。因此综上(image_address=""//comment.10jqka.com.cn/sourcepic/12/1tDT7tfK0bYtsay.png"")认为3月中上旬芳烃溶剂油市场来看依旧以走弱为主，且不排除价格方面或有继续深跌的可能。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：xr",2020-03-03 10:47:27,同花顺
8,2020年1月重庆市金融运行简况,"1月，重庆市金融机构人民币各项存款增长有所放缓，各项贷款平稳增长。
一、季节性因素导致人民币各项存款增长放缓
1月末，全市金融机构本外币存款余额39863.3亿元，同比增长5.2%。月末人民币存款余额38439.86亿元，同比增长4.9%，增速分别低于上月和上年同期1.6个、1.5个百分点。当月人民币存款增加486.8亿元，同比少增479.6亿元。其中，住户存款增加1330.6亿元，非金融企业存款减少607.3亿元，广义财政性存款减少108.5亿元，非银行业金融机构存款减少128.9亿元。月末，外币存款余额206.7亿美元，同比增加9 %。当月外币存款减少12.7亿美元。
二、人民币各项贷款平稳增长
1月末，全市金融机构本外币贷款余额37822.8亿元，同比增长13.7%。月末人民币贷款余额36935.4亿元，同比增长14 %，增速低于上月1.3个百分点，与上年同期基本持平。当月人民币贷款增加702.2亿元，同比少增169.5亿元。分部门看，住户贷款增加228.3亿元；非金融企业及机关团体贷款增加497.5亿元，其中，短期贷款增加37.3亿元，中长期贷款增加318.8亿元，票据融资增加114.3亿元；非存款类金融机构贷款减少23.5亿元。月末，外币贷款余额128.8亿美元，同比下降1.2%。当月外币贷款增加3.9亿美元。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：jdm",2020-03-03 10:44:56,同花顺
9,福建自贸区各项举措落地有声 企业复工复产按下“快进键”,"“这真是雪中送炭。”在福建自贸区福州片区的福州润德进出口贸易有限公司受疫情影响，公司资金运转出现困难。福州自贸片区主动作为，按照相关政策为企业减免2个月~4个月的租金，润德公司负责人表示，政策的出台是及时雨，降低企业运营成本。
福建自贸试验区以“五抓”促“六稳”，出台了各项政策和举措，为企业复工复产吹响“集结号”，按下“快进键”。省应对疫情工作领导小组商务发展服务小组组织省直成员单位挂钩服务企业，省商务厅（自贸办）安排100名处级干部挂钩帮扶外贸、外资、内贸“三个一百”企业（共319家），通过线上线下相结合方式，深入基层、企业一线，当好宣讲员、辅导员、服务员。
福州自贸片区管委会建立党员干部挂点联系企业、卡口值班排查、驻区企业信息沟通、企业需求收集、巡查检查、监督举报等“六个机制”，着力帮助企业解决复工复产中遇到的困难问题。厦门片区管委会建立每日一报信息制度，及时掌握企业复产进度；向广大企业职工发出一封信，告知区内已具备的复工条件，解除员工返岗后顾之忧。平潭片区出台《关于进一步关心关爱疫情防控一线党员干部激励担当作为的通知》，为打赢疫情防控阻击战提供坚强政治保证。推出领导干部包干、项目清单化、实行“一企一策”等“五项机制”，全力保发展。
省应对疫情工作领导小组商务发展服务小组研究出台由省商务厅（自贸办）牵头起草的《应对当前新冠肺炎疫情做好“两稳一促”工作政策措施的通知》，推出26条针对性强的政策举措，保障外经贸、商贸企业复工复产。厦门片区管委会出台17条措施，从金融服务、企业降本、复工复产等方面提供帮扶，支持企业共渡难关。配套出台办事指南，逐一进行政策解读，明确申报流程、申报材料、受理部门及联系方式等，让企业一目了然，易于掌握。平潭片区相关部门、单位立足职能，出台了一系列暖心政策。如，平潭海关制定15条应急帮扶措施，涵盖保障疫情防控物资及其生产原材料进口快速通关、延长税款缴纳期限、加速台湾农渔产品和生活消费品进口通关等内容。福州片区多渠道、多形式宣传上级复工复产政策，还出台了《关于应对新冠肺炎疫情抓复工促发展若干政策》。
福建自贸区各片区还抓用工，全力提供后盾。福州片区支持飞毛腿公司用“返岗人员接送专车”远赴1200公里外的河南驻马店上蔡县接回57名员工；支持星云电子、统一企业等公司用包车接回南平、宁德、泉州、莆田等省内十多个地区的42名员工。区内医院组建5支医疗队伍，开展外省复工从业人员病毒核酸采样检验检测工作。厦门片区落实“点对点”免费包车返厦方案，通过走访、电话、微信等渠道，推动企业员工按时返厦返工，助力企业尽早稳产。联手邦芒集团，在线上推出“企业复工招募平台”，为本地缺工企业提供对接服务，并引导本地企业间共享劳动力。平潭片区采取分类防控策略，对区外返岗人员，在落实防控措施基础上可以上岗，由企业安排防疫专员，对其实施自我观察和医学随访。
在资金链方面，福州片区内的中景石化作为我省最大的聚丙烯生产企业，承担医用口罩专用料生产任务，急需流动资金，进出口银行、兴业、工行、农行等多家金融机构予以大力支持，其中兴业银行开通绿色通道，通过降低门槛、简化流程，在1天内完成了对其1亿元的贷款审批。经济技术开发区区块与进出口银行签订银政合作协议，为相关企业及项目提供不低于50亿元融资支持，用于做大物联网基地等平台，支持外向型龙头企业开展进出口贸易。厦门片区在微信公众号上开辟“金融服务”专栏，汇总各类金融政策，推荐15家银行、7家金融机构提供的4大类31款产品，向广大企业提供贷款、结算、交易、保险等方面服务。
在物流链方面，福州片区保税港区区块积极推动符合条件的物流企业加快复工，通过设立驾乘人员隔离专区、强化接卸货现场管理等方式，做到车辆人员可跟踪、可追溯。及时将已复工的物流企业信息推送给亟需企业，解决企业运输难题。平潭片区在二线卡口正式启用“入岚车辆预约申请”平台，做到严格检测和快速通行两不误。
在供应链方面，福州自贸片区管委会联合盛景网联科技股份有限公司，针对受疫情冲击和影响较大的制造业和消费服务业企业，推出以“疫情下中小企业自救三板斧”为主题的免费在线培训，为企业拓市场出谋划策。厦门片区积极落实省委、省政府应对疫情扎实做好“六稳”工作24条措施，鼓励企业利用电子商务拓展市场，支持跨境电商企业扩大进出口。
下一步，福建自贸试验区将上下同心、加倍努力，扎实推进复工复产各项工作，与企业一道，争分夺秒、共克时艰，全力以赴完成全年目标任务。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：cyf",2020-03-03 10:44:54,同花顺
