,title,content,pub_time,src
0,全球最大！绿地国博城会展中心主体钢结构开工,"(image_address=""//comment.10jqka.com.cn/sourcepic/12/wrPNextagAtsaytsay.png"")3月3日讯3月3日，位于黄河北新旧动能转换先行区，由绿地集团投资建设、中建八局第二建设有限公司承建的绿地国际博览城会展中心项目工地，一片重达58吨的“柳叶”形屋面桁架，作为会展中心“骨架”的核心元素，被徐徐吊起，拉开了项目主体钢结构建设的序幕，这也意味着济南正式开始撬动国际会展中心这把交椅。
据悉，绿地国际博览城会展中心项目总建筑面积120万平方米，整个外观像一个“V”字，东西绵延2.5公里。项目分三期建设，其中净展览面积51万平方米，建成后将超过国深圳国际会展中心以及德国的汉诺威展览中心。中建八局二公司承建的一期工程建筑面积34.3万平方米、净展览面积15万平方米，一期包含13栋单层展厅、登录大厅、3层的会议中心、6层的停车楼，以及1栋五星级酒店及配套1层地下车库。
在抓好疫情防控底线的同时，中建八局二公司团队2月14日即完成防疫及安全条件验收，成为济南新旧动能转换先行区第一个达到复工条件并恢复生产的项目。
(image_address=""http://e.thsi.cn/img/485b43705f2ff347"")
58吨!“柳叶”屋面桁架吊装难度全国居首
3月3日，中建八局二公司建设团队所要突破实现的“柳叶”吊装，其难度的特殊性，在国内尚属首次。
会展中心展厅的屋顶，由一榀一榀的钢桁架组成，相当于普通民房的一排排“房梁”，而会展中心展厅的每一排“房梁”，正是由两片“柳叶”组成。
施工现场，一片片焊制成型的“柳叶”，更像是一艘艘大船。长63米，重达58吨的大家伙，需要在与造船台架类似的作业平台上，由12名焊工，焊制5天才能完成。这样的“大家伙”在6个展厅中，共有78片，总重量近5000吨。
每一片“柳叶”需要由一台260吨位的履带吊车缓缓吊起，放置在两排高差近9米的框架柱之上，独立高度超过了24米。看似简单的操作，却需要3个小时才能实现。
据了解，58吨重的大家伙，突然放置到框架柱之上，受力最大的部位，需要承担18吨的侧压力，这对竖向结构强度是个严峻的考验。
“吊装时如何降低或消除对竖向框架结构稳定性的影响，确保结构整体安全稳定，至关重要。”中建八局二公司建设人员介绍。
施工团队既要保证框架柱不被压塌，同时需要兼顾“柳叶”形的钢桁架不变形。为此，中建八局二公司多次协调省内外专家到场指导，经过多次建模验算、多种方案对比，历时2个月，最终才确定实施方案。
3道保险!框架柱实为擎天巨擘
每个展厅承担“柳叶”形房梁荷载的结构，并非敦厚笨重的混凝土实体墙，而是4排混凝土框架柱。
之所以选用框架柱，是因为会展中心层高超13米，最高点达24米，框架结构可分担受力，最大限度保证其整体的稳定性，“如果是一面13米高的实体墙，稳定性很难保证”。与此同时，框架结构可为后期会展中心后期改扩建，比如增设通道，提供了可能。
为保证混凝土框架结构施工质量及安全，中建八局二公司建设团队，在施工方案选择上，可以说上了三道保险。
首先，在钢筋混凝土立柱浇筑过程中，在外围包裹一层新型铝框木模板，主要用于定型。这套由中建八局二公司拥有自主知识产权的模板，相比于普通的木模板来说，承载力可提高20%。
与此同时，这种新型绿色环保建材，周转利用率高，可循环利用70多次，不会对环境造成污染，而普通木模板，只能重复使用四五次。
铝框木模板外围，建设团队采用新型方圆扣加固体系，从外围对模板进行多道加固，相当于用一道道“钢箍”将模板牢牢锁住。
最后一步，建设团队选择新型承插型盘扣式钢管脚手架，从外围整体上，来支撑浇筑完的混凝土框架。该种脚手架，具有承载力高、整体稳定性好，施工速度快等优点。尤其在承载力方面是常规的钢管扣件或轮扣脚手架的1.5倍。
待框架混凝土养护成型后，三道保险拆除，就剩眼前外光内实的框架结构了。
承重强!地面每平方米可承重5吨
“会展中心展厅地面每平方米可以承重5吨，后期即便是摆上坦克，地面也不会沉降变形。”中建八局二公司建设人员介绍。
不得不说一下地基处理。会展中心选址位于蔬菜之乡济阳县崔寨镇，开发建设前均为蔬菜大棚，由于常年种植农作物，泥土松软。
为保证地基稳定，建设团队选择置换土壤。施工团队进场后，深挖0.7-0.8米，将原先的地表种植土全部移走，置换成粉土。
随后采用20吨振动压路机分层碾压压实。“经过现场检测，通过换填处理，地基承载力已经可达12吨/平方米。”建设人员介绍。
会展中心单个展馆地面面积接近1万平方米，相当于1.5个标准足球场，换填处理后的地基，为保证地面不发生沉降和变形，建设人员将施工23厘米厚的筏板，同时进行防水、防潮等处理，最终会展中心地表将铺设彩色水泥自流平面层。
“展厅配备5米高、5米宽的大门8个，可以说，会展中心可以承接包括各类重型机械类设备在内的各种展览。”中建八局二公司建设人员介绍。
效率高!创造“先行速度”
自2018年元旦，国务院批复同意设立山东新旧动能转换综合试验区以来，中建八局二公司承建的绿地国际博览城会展中心一直属于引领项目。
承担济南“北跨黄河、携河发展”历史重任的先行区，更是定位于将该项目打造成济南城市的新名片、济南经济的新引擎，以及北跨黄河的启动项目和城市新区的引爆点。
在济南先行区管委会和绿地集团的指导和支持下，项目因建设速度、质量及安全文明管理，被誉为创造了“先行速度”——自2019年10月15日正式组织进场施工以来，6天完成4500米围挡搭设;13天完成31万平方米蔬菜大棚拆除及场地清表;49天高标准完成50000平方米项目部办公区、生活区及工人生活区建设，7天完成50余万平方米架体搭设，26天完成6个展馆主体框架结构施工……
2019年入秋以来，济南市重污染天气应急响应办公室多次发布重污染天气预警，会展项目正值基础施工阶段的关键期，为保证施工进度，先行区管委会及绿地集团积极与市政府各职能部门沟通，确保混凝土、钢材、水泥等材料正常供应，满足现场施工需要，同时积极协调省内外专家到场指导，协调解决项目遇到的技术难题，确保工程高标准建设。
疫情发生后，项目团队第一时间成立疫情防控组织机构，确保守好“疫情防控”责任田。同时，抢抓政策、快速行动，于2月14日通过防疫及安全条件验收，成为先行区第一个短时间达到复工条件并恢复生产的项目。同时，积极发掘省内劳务资源，保障现场劳动力需求，在先行区管委和绿地集团的积极对接下，顺利协调曲阜钢结构加工厂，保障现场需求。
灵感源自黄河与泰山
由于绿地国博城会展中心紧邻黄河，项目方案设计以中华民族的发源地黄河为主题，将屋顶设计成黄河波纹形状。
设计团队满腹诗意地将其描述为，“象征着黄河之水的中央共享长廊，竖向的律动、局部黄河石造型以及水波样屋顶造型，宛如凝固的音乐，纵情唱响一曲来自历史奔向未来的黄河赞歌”。其中，一片片“柳叶”形钢桁架同样饶富设计内涵，取义正是源自济南的代表性诗句“四面荷花三面柳”。
与此同时，项目将配建1栋五星级酒店。据设计团队介绍，会展建筑群中矗立的配套高端酒店采用双曲线立面造型，寓意泰山。“黄河”与“泰山”，将成为济南北跨黄河的战略坐标!(本网记者)
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 14:58:24,同花顺
1,又一入局者：吉利宣布推出卫星网络服务,"原标题：又一入局者：吉利宣布推出卫星网络服务来源：(image_address=""//comment.10jqka.com.cn/sourcepic/12/Y25CZXRh.png"").COM 
据外媒报道，中国最大的民营汽车制造商--吉利正在进军卫星业务。在过去十年左右的时间里，吉利已经扩大了其业务范围，从卡车运输、到高速列车、无人驾驶空中出租车再到沃尔沃。现在，它又宣布了一个新进军的领域-卫星领域。获悉，这家汽车公司宣布建立自己的卫星网络以此来实现其所称的“智能三维移动生态系统”。
吉利于周一宣布了将在浙江省港口城市台州建立一个卫星生产设施和测试中心。该设施将能建造“各种不同的卫星模型”，其中一些可能是为非吉利公司建造。
吉利表示，最早将于今年年底启动这一卫星网络，但没有透露具体规模。据路透社报道，该公司正在向该项目投入约3.26亿美元并最终实现每年制造500颗卫星的目标。
吉利表示，这些低轨道卫星将支持高速数据传输、精确导航和云计算，另外还将支持其车辆的快速空中更新以及向公司所有者“交付内容”。吉利似乎并不想开放像SpaceX和OneWeb正在建造的卫星群，也没有迹象表明这些卫星将用于标准互联网连接。
吉利指出，该业务里的导航部分可能特别有用，因为目前的GPS卫星因为轨道高的关系而只能精确到几米。吉利称，低轨道卫星的精确度可以达到1厘米以内。“这种准确性不仅对汽车很重要，对无人驾驶飞行也很重要，”一名公司代表说道。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 14:56:19,同花顺
2,分类施策有序恢复农业生产,"原标题：分类施策有序恢复农业生产
2月26日，石首市大垸镇大湾村，100多亩小麦田用无人机喷洒农药，半小时就完工，全程无人员接触。当天，荆州市农业农村局组织植保专家开展田间调查，在做好新冠肺炎疫情防控的同时，推进春季农业生产。
荆州是农业大市，春播农作物面积520万亩以上。受疫情影响，今年春季农业生产面临农资供应配送难、农产品运输和销售难、农业生产用工难、农业技术服务到户难。
荆州市委副书记、市长崔永辉介绍，当前疫情防控是头等大事，荆州采取分区分类施策方式，10个无疫乡镇、1020个无疫村及近14天以来没有确诊病例、疑似病例和密切接触者的乡镇、村，在农民外出测体温、农具勤消毒、下地不聚集条件下，可以下田分散劳作；对最近14天内仍有“四类人员”的乡镇、村，在做好自我防护措施的前提下，可以家庭为单位开展生产劳动。对农产品加工、农业生产资料生产、饲料生产等农业企业，以及农民合作社、家庭农场、农业服务组织等新型农业经营主体，在严格落实防控措施的前提下，有序组织开工复工，逐步恢复生产。同时，改进农资配送方式，以村为单位统计摸底农户农资需求，组织农资企业、经销商通过“点对点”“无接触”方式配送农资至村，由村委会统一发放到户。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 14:55:29,同花顺
3,湖北农行5000万优惠贷款支持生猪养殖,"(image_address=""//comment.10jqka.com.cn/sourcepic/12/0MK7qs34.png"")武汉3月3日电(蔡瑰)“正当我们为资金问题为难时，农业银行第一时间联系到我们，并带来金融服务专案。”湖北襄阳老河口牧原农牧有限公司总经理黄炳权说，中国农业银行湖北省分行(以下简称“湖北农行”)近日向该公司发放贷款5000万，有效缓解了企业因新冠肺炎疫情带来的流动资金困难，稳定了生猪市场供应能力。
据了解，襄阳老河口牧原农牧有限公司是湖北省畜牧业龙头企业，湖北省生猪市场主要供应商之一。今年年初，该公司与湖北省商务厅签订了省级储备肉活猪储备计划承储合同。
疫情发生后，该公司被湖北省政府列为省级疫情重点保障企业。但企业现有生猪储备仅能保障一定时期的猪肉供应，饲料库存不足，在市场需求激增的背景下，该公司面临提升产能的资金难题。
正好农行湖北分行在全面摸排全省疫情防控保障企业，逐一上门对接金融需求。了解到该公司情况后，该行迅速开通绿色信贷审批通道，全力支持企业。在创新贷审会云会议模式、优化信贷业务流程下，该笔贷款从申请到发放仅用时2天，且在贷款市场报价利率(LPR)基础上再降100个基点(BP)，贷款实惠、快速落地受到地方金融办、人民银行、银保监组等监管部门充分肯定。目前，该公司已将农行贷款用于加大饲料采购，2000余头生猪已供应全省各大市场。
农行湖北分行表面表示，疫情发生后，该行将金融助力打赢疫情防控阻击战作为首要任务，积极用好人行再贷款利率政策等优惠政策，全力支持省内重要物资保障工作。
(责任编辑：陈剑)
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 14:54:15,同花顺
4,斥资8.4亿元！澳柯玛智能产业园在崂山正式启用,"[提要]澳柯玛（600336）智能产业园(工业厂房)项目于近日投入使用。项目总投资8.4亿元，共七栋单体，地上为3-18层，地下2层。
青岛新闻网2月12日讯(记者朱颖)记者从崂山住建局获悉，澳柯玛智能产业园(工业厂房)项目于近日投入使用。项目总投资8.4亿元，共七栋单体，地上为3-18层，地下2层。
园区建成后，将吸引200余家冷链领域科技型企业落户，吸纳创新创业人才约1万人，成为以科研研发、企业孵化为主的智能型产业园。项目建成后预计年销售额达30亿元人民币，实现税收3亿元。
澳柯玛智能产业园(工业厂房)项目位于崂山区株洲路以北、科苑纬三路以南、高荣路以东，项目占地面积42727平方米，总建筑面积186044.4平方米，其中地上建筑面积132453.1平方米，地下建筑面积53591.3平方米。
本项目建设单位为青岛澳柯玛信息产业园有限公司，监理单位为青岛市工程建设监理有限责任公司，施工单位为青建国际集团有限公司。
项目于2019年11月份建成，项目依托澳柯玛国家级企业技术中心、博士后工作站和全球检测中心，主要规划七大功能区：大数据运营中心、智能技术研究中心、仿真设计中心、工业软件研发中心、科学仪器仪表创新园、国家级科技孵化器、国家级创客空间。
未来将打造集技术研发与创新、新产业孵化、公共数据服务、工业软件云服务、公众创新创业支持于一体的高新技术产业园区。
澳柯玛智能产业园项目，是企业响应国家“大众创业、万众创新”号召，推动实施国家“创新驱动”发展战略，推行供给侧结构性改革、实现新旧动能转换的一项重要举措，将有力地推动澳柯玛企业的持续发展和地方及行业技术的进步。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 14:52:25,同花顺
5,科锐照明级LED应用于武汉抗疫应急工作,"科锐LED在众多不同的应用领域中都熠熠闪光。在疫情爆发后，中国政府开展了众多行之有效的应急措施，其中之一就是以令人惊叹的“中国速度”建造了火神山医院和雷神山医院。科锐照明级LED被应用于浙江极客桥智能装备股份有限公司(Zhejiang GBI Intelligent Equipment Inc.,以下简称：GBI)设计的无人机空中照明系统之中，在施工人员昼夜不停地以创纪录的效率完成医院建造所面临的挑战中，扮演了一个小但重要的角色。成千上万的建设者分秒必争，齐心协力在短短十天内建造了符合防疫要求的医院。
(image_address=""http://e.thsi.cn/img/d4a3c3094b21735d"")
传统的工地现场照明需要安装线杆和脚手架等，可能需要耗费几天的时间。与此不同的是，GBI无人机空中照明系统可以在短短几分钟之内完成部署并点亮夜间建筑工地。快速的现场照明是支持武汉火神山医院和雷神山医院在短时间之内完成建设的众多解决方案之一。
单个GBI无人机空中照明系统可以提供6万流明的现场照明，同时可在最高50米的高空盘旋提供更大的照明范围，并且与发电机和备用电源相连提供更持久的照明时长。GBI无人机空中照明系统采用24颗科锐XLamp XHP50.2LED，创造了一个强劲、轻便、功能强大的应急现场照明系统，提供了相当于3-4盏传统LED路灯的照明。
(image_address=""http://e.thsi.cn/img/123f0cb2a67c2282"")
火神山医院和雷神山医院在抗击新冠病毒中发挥着重要作用。火神山医院可容纳1000张床位，而雷神山医院则可容纳1600张床位，集中收治新冠病毒感染的肺炎患者，极大地增强了武汉抗击疫情的医疗能力。(来源：科锐)
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 14:49:14,同花顺
6,既要“复得了”也要“复得好” 天津住建委护航建筑企业开复工,"新型冠状病毒感染的肺炎疫情快报
天津(image_address=""//comment.10jqka.com.cn/sourcepic/12/sbG3vc34.png"")讯：连日来，天津市住建委组成多支工作小分队，持续深入轨道交通、国家会展中心等市级重点项目及各区工程建设项目现场，在确保疫情防控到位的前提下，分区分类推进项目开复工，在“能复则复、能复尽复、能复快复”基础上，进一步推进从“复得了”向“复得好”的飞跃。
战“疫”复工初期，面对不少建筑施工企业普遍怕传染输入、怕聚集传播、怕防控不力、怕投入过重、怕承担责任等“五怕”心理，工作组迅速将各项暖心政策送达施工企业，将我市《全市建设工地开复工疫情防控工作导则》等文件规定送到工程项目，市区两级住建委每天派出不少于300人的工作服务队伍，努力消除恐慌心理，竭力破除畏难情绪，同时帮助企业用足用好各项“政策包”，在坚定信心、破解难题、共渡难关上做了大量而富有成效的工作。
同时，住建委充分运用网络信息技术和“一网畅行”疫情防控与复工复产大数据系统，根据不同风险等级进行源头把控，与相关部门紧密联系，为企业提供“点到点、门对门、人对人”“一站式”运输方案，加强返岗复工后的事中事后监督管理服务，使外地建筑业施工人员既能“来得了”，也能“来得好”。截至目前，我市建筑业返津务工人员累计已达21324人。
在市区防疫部门支持下，工作组指导企业逐条逐项落实疫情防控和安全生产制度措施，切实做到环境整治到位、健康登记到位、信息排查到位、隔离措施到位、教育培训到位、应急措施到位、内部管理到位。复工以来，重点协调解决了施工现场缺乏口罩、医用酒精、消毒液、体温枪等防疫物资匮乏等问题，还再次帮助重点企业配发口罩等防护用品，落实口罩和消毒用品等配送计划，牢牢把住疫情防控和项目建设的第一道关口。
天津市住建委启动需求送上门，为企业开辟“快通道”。针对企业反映的混凝土及管片厂复产、沙石料供应、建筑材料运输、工地渣土外运等6大类18个问题，努力做到有求必应，逐项研究对策，逐项提出解决方案，仅用3天时间12个关键问题就得以有效解决。利用市重点工程指挥部平台，推进西青区政府协调李七庄镇，解决了地铁工程渣土卸地问题；推动北辰区政府协调各部门，快速解决辖区管片厂复产与运输问题；协调宁河区政府第一时间打通公路卡口，保证库存钢材顺利运至建筑工地，为加快复工复产打通绿色通道。
此外，天津市住建委充分调动行业协会、商会的力量，邀请市建材业、混凝土、钢结构幕墙和门窗3家行业协会，搭建建设施工企业与上下游企业联系桥梁，建立沟通联络，开辟供货渠道，保证充足供应。目前已推动125家具有一定规模的建材供应生产企业复工复产，10余个混凝土大站已经全面开工。同时通过京津冀协同机制，争取河北省建筑原材料等大力支持，加快上游供应链企业复工复产，缓解我市开复工急需的建筑原材料供应问题，从源头上为建筑施工企业提供持续不断的物资保障。(津云新闻记者董立景)
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 14:48:54,同花顺
7,国网江苏电力、国网电商公司协力助推企业复工复产,"新冠肺炎疫情发生以来，国网江苏电力与国网电商公司积极落实国家电网公司“一个提高、六个强化”总要求，分别在保电护航和应急物资保障方面发挥了关键作用。随着疫情防控积极向好，江苏省中小微企业逐步进入有序复工复产阶段，但普遍面临资金周转、原材料供应紧张和产品滞销等实际困难。国网江苏电力知企业所需，急企业所急，联合国网电商公司基于双方前期在电费代收、金融科技、物资电商化采购等领域良好的合作基础，共同策划了“江苏省企业复工保障三大战疫”行动。
据介绍，该活动于3月3日正式启动，将围绕“疫”战先锋、“疫”路同行、“疫”心奉献三大主题，为江苏省电力用户、中小微企业、疫情防控医护人员及保障人员量身打造14项优惠政策，为打赢疫情防控阻击战、加速社会经济回暖做出积极贡献。
记者从两家公司了解到，此次三大战“疫”行动从提供资金支持、帮助中小微企业快速融资、降低融资成本、便利电费交纳等方面，打响营商环境复苏攻坚战；从应急防护物资采购供应和调配、提供家电购买折扣及商旅出行福利、个人信用贷款等方面，打好抗疫一线关怀保卫战；从提供居民企业线上便捷交费服务、在线积分捐赠服务、电费金融产品等方面，打赢不见面办电爱心支援战。
行动过程中，国网江苏电力发挥客户资源优势、保障力量优势，精准筛选目标企业及抗疫一线人员，积极开展宣传推广、保障服务；国网电商公司发挥产品平台优势、技术创新优势，联合中国建设银行江苏分行、江苏银行（600919）等金融机构，提供具有竞争力的金融贷款产品及企业供需对接服务。
据介绍，整体行动计划帮扶中小微企业下达金融贷款16亿元，盘活社会资金融通15亿元；为抗疫医护、一线员工等3万名群体提供优惠福利，为江苏900家以上中小微企业提供复工复产金融支持。
江苏省地处长三角经济带，地理位置和经济带动作用特殊，加快推进江苏企业复工复产，不仅能够盘活带动长三角地区整体经济，进而辐射我国华中部分受疫情影响重灾区，而且有助于充分释放江苏纺织业、制造业、轻工业优势产能，显著带动口罩、防护服等医护物资的供应保障，社会经济意义不言而喻。国网江苏电力营销部行动负责人江明告诉记者：“我们希望通过保复工、保关怀、保支援，做到暖企业、暖一线、暖疫区，体现央企“大国重器”和“顶梁柱”的价值。”国网电商公司营销服务中心负责人于伟说，这次行动是国网系统内两家公司充分发挥主业产业融合优势服务社会经济发展的一次创新实践，体现了央企服务改革发展大局的新模式、新作为、新担当。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：jdm",2020-03-03 14:47:52,同花顺
8,Android 10获新功能：分享菜单可固定常用应用程序,"原标题：[图]Android10获新功能：分享菜单可固定常用应用程序来源：(image_address=""//comment.10jqka.com.cn/sourcepic/12/Y25CZXRh.png"").COM 
在今天面向Pixel发布的第二个Feature Drop中，谷歌引入了全新隔空手势、169个全新Emoji表情等诸多功能。外媒9to5Google在深入挖掘后还发现了能够在分享菜单中固定应用程序的功能。
(image_address=""http://e.thsi.cn/img/e8e711573d91e2c1"")
Google首次在Android11Developer Preview中首次启用了此功能，不过公司已经决定在Android10系统中作为新功能面向Pixel用户开放。
想要在分享菜单上固定应用程序，只需要在分享页面长按你想要固定的应用程序，然后选择“固定”选项就可以了。目前最多能够固定4个应用程序。不过，固定的应用程序不会显示在共享菜单的最上方，该空间保留用于直接共享建议。相反，固定的应用程序将位于“Direct Share”面板下方的一行中。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 14:46:19,同花顺
9,德龙旗下巨合不锈钢生产线启动 预计每月产量约增加6万吨,"SMM网讯：据响水巨合消息，其总投资22.5亿元的高合金钢材料压延项目整条生产线经过连续不间断的施工建设，目前，巨合十八辊五机架连轧生产线及2×1450冷轧退火酸洗线已经完成设备安装，并进入试生产阶段。
据悉，巨合对已建成的五连轧生产线进行了精细的调整。预计在四月底实现全面的达产达标，同时预计在本年度实现可开piao销售收入120亿元。
公开资料显示，响水巨合金属制品有限公司位于江苏省盐城响水沿海经济开发区冶金产业园内，为江苏德龙集团产业布局和优化生产的基础项目。
据SMM调研了解，此十八辊五机架连轧生产线为年产能约75万吨不锈钢冷轧项目，若4月底全面达产，则每月产量将增加约6万吨304不锈钢冷轧。
》点击报名：《2020(第五届)中国国际镍钴锂高峰论坛》
报名镍钴锂峰会或申请进SMM新能源汽车/钴锂行业交流群，敬请扫描下方二维码：
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-03 14:43:43,同花顺
