,title,content,pub_time,src
0,“硬”对疫情 科技助力,"新冠肺炎疫情发生以来，陕西西安以“硬科技”为抓手，探索科技成果转化新路径，大量原创性技术被有效激活，一大批西安科技企业研发的“硬科技”产品得到广泛应用，在抗疫一线发挥了重要作用。
图为在西安中科微光影像技术有限公司，工作人员演示投影式红外血管成像仪。
新华社记者李一博摄
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-26 03:51:19,同花顺
1,保持理性 独立思考,"1个月前，是我在给国内的爸妈发我在网上看到的各种关于新冠肺炎疫情的信息，现在是他们天天给我发他们了解到的关于美国疫情的信息。在宿舍待了近10天的我如今也体会到国内朋友在家隔离的感受。
我学习生活在威斯康星国际学院全托服务中心，就读于当地一所私立高中。学校停课后，并未开设网课，但老师布置了每天需约8个小时才能完成的作业。刚开始时，我觉得很新奇，因为从未体验过这样的学习模式。可新鲜感一旦褪去，想要出门的愿望渐渐清晰起来，但看到每天新增的新冠肺炎确诊病例数量，便作罢了。
按照计划，3月我要参加一场托福考试，因疫情不得不放弃，为了这次能够成功出分的努力自然也付诸东流。美国疫情日趋严重，不少中国留学生陷入两难，学校停课后要不要回国也成了热点话题。在网络上，有些人指责中国留学生回国的举动，我想说的是不要轻易指责，当一个人在异国他乡面对疫情时，感受到的任何负面情绪都会被放大，那些紧张、无助、思乡都切切实实地压在了留学生身上。对中国留学生来说，究竟该如何选择，需要的是理性评估。
最近我也会看到亚裔在欧美被歧视的视频，虽然在现实中并未遇到这类情况，但看到这些视频还是会觉得难过。2月初，我作为志愿者参加了学校举办的献血活动。当时坐在我旁边的是一名当地的老爷爷，他问我从哪里来，当得知我来自中国后，立刻关切地问起中国的疫情情况，并且说他从电视上看到相关新闻之后很是难过。回想起这一幕，我也祝福他能在此次疫情中一切安好。
让我感到温暖的不只是老爷爷，生物老师了解到中国的疫情后特意来找我，也表达了对我家人的关心；朋友们询问我家里是否一切都好……那时，我感受到了这座小城的温暖。
这次疫情让我思考良多，在当下信息纷飞的网络时代，保持理性，独立思考，不盲目相信也不盲目批判才是最重要的。我也相信，我们能战胜这次疫情。
(寄自美国)
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-26 03:51:17,同花顺
2,金融“活水”支持企业复工复产,"3月23日下午，我们刚走进位于岳池县经开区的四川圣上大健康药业有限公司，就闻到一股淡淡的药材香味。在该公司生产车间，工人们正戴着口罩在各自岗位忙碌。
“我公司自2月2日复工以来，产能已逐步恢复。目前工人全部到位，正加紧赶制一笔近300万元的中药材订单。”该公司行政部经理严素芳说。
然而，一个月以前，该公司还面临资金周转难题。“疫情防控期间，由于市场对口罩、消毒药品、中药饮片等医药物品需求量骤然增加，加之物流成本、原材料价格上涨，公司的生产资金周转十分困难。”严素芳说，好在县经信部门、园区工作人员及时了解到企业需求，积极联系县内金融机构，利用信贷资金支持解决了公司的燃眉之急。
“工行、建行等多家银行利用远程签约、线上视频指导的方式与我公司对接，在贷款准入、贷款审批、作业监督等环节，开通了‘快速审贷通道’，极大地缩短了业务办理时间。”不用跑银行、办手续，而且利率优惠，短短几天，总计600万元的贷款相继到位，这让严素芳欣喜又意外。
加大信贷资金投放力度，开辟信贷绿色通道，帮助企业扩大资金规模，减少成本负担，这只是全市加强金融服务推动企业复工达产的一个缩影。
“疫情防控期间，广安市组建6个包片联系工作组，制定‘一企一联络员’制度，摸清企业在防疫物资、生产运输、资金需求、要素保障等方面的问题，想尽办法帮助企业解决问题，实现了全市规上工业企业100%复工复产，成为全省复工复产最快的地级市之一。”市经济和信息化局园区科科长高乐华介绍。
与此同时，市经济和信息化局主动落实中央、省支持企业复工复产的政策要求，及时汇总形成企业融资需求和企业信息清单，做好银企对接。并联合中国人民银行广安市中心支行出台了《加大金融支持工业经济发展的意见》，采取发放贷款、延长还款期限、减免逾期利息、无还本续贷等措施，帮助中小微企业解决融资难题。
“截至目前，广安市共发放信用贷款2.26亿元、惠及企业367户，通过减免贷款逾期罚息、利率优惠、减免手续费等方式为企业节约融资成本207万元，有力地推动了全市经济平稳运行。”高乐华说。(广安日报朱俊吉尹姮)
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-26 03:31:29,同花顺
3,尽管美联储火线驰援 资金市场仍因企业囤美元面临压力,"3个月期美元Libor连续第九个交易日呈现上涨
其它指标表明，某些领域的资金压力仍然紧张
美联储和其他央行的连环拳可能阻止了资金成本飙升，但未能像交易员预期的那样释放流动性。
美元3个月期伦敦银行同业拆借利率(LIBOR)上涨3.46个基点，触及逾三周高位。这可能反映了银行在以更高利率进行商业票据交易。商业票据利率与无风险利率之差小幅走高，上周末曾伴随全球市场动荡而飙升至纪录高位。
这是个糟糕的消息，因为美联储向其他央行提供的许多互换安排恐怕不会带来影响。在日本企业囤积美元之际，廉价资金被锁住，虽然美联储与其他央行间的互换安排得到了更多使用，但欧元区和英国的交叉货币拆借市场几乎纹丝不动。
以下是关键资金指标的情况：
3个月期LIBOR 
3个月期LIBOR周三连续第九个交易日上涨。
瑞信策略师Jonathan Cohn表示，虽然上涨幅度已经小于先前，但市场上缺乏定期商业票据的发行和定价，表明“无担保融资市场部分领域仍处于紧缩状态”。“鉴于它们在瀑布式报价流程中的优先级地位，这可能对Libor设定产生巨大影响。”
商业票据
伴随市场参与者利用美联储的工具(如货币市场共同基金流动性工具)，短期商业票据与作为无风险利率的隔夜指数掉期的利差已经缩小。
美联储周三发布的数据显示，90天期AA级非金融商业票据利率周二回落至1.41%，但评级更低的非金融商票利率从2.71%升至3.51%。
“尽管过去一周宣布了许多措施，但商业票据市场功能还没有恢复，”摩根大通的美国利率策略负责人Alex Roever在3月24日客户报告中写道。关键的商业票据融资工具何时启动尚不明确，除此之外，目前鲜有其他买家。
(image_address=""http://e.thsi.cn/img/277e08cd578a6cfb"")
交叉货币基点互换
日本的银行动用美联储最新互换额度的规模超过全球金融危机时期，但是因为企业正在囤积现金以度过这场竞技风暴，这些资金还没有流入融资市场。3个月期美元兑日元交叉货币基点溢价仍在上涨。
同花顺上线「疫情地图」
点击查看：新型肺炎疫情实时动态地图>>>
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();",2020-03-26 03:18:35,同花顺
