,title,content,pub_time,src
0,58金融发布消费金融接纳度报告：三四线中年男性更爱使用消费金融 产品渗透率达56% ,"近日，58金融发布《2020上半年消费金融接纳度报告》，对分期消费主流人群的用户画像进行了生动刻画。报告指出，分期用户的个人月收入多介于5000元至8000元之间，他们最喜欢分6期还款，其中近7成人的分期消费占日常生活消费的一半甚至更多，电商消费和3C电子产品则是分期消费的主要类目。
接受58金融本次调查的用户均有过分期消费的经历，男性与女性之比约为1:1。从年龄分布看，受调查用户介于70后和00后之间，其中80后和90后占比相近且最高，均超过了总调查样本的1/4。从学历分布来看，本科生占比最高，超过六成，达到了63.3%。学生、教育培训和生产管理/研发是受调查分期用户中占比最高的三个职业，因为没有固定收入的原因，学生族的消费需求很大程度上需要通过分期支付来满足。
从城市分布来看，生活在一线和新一线城市的用户对于分期消费的接受度最高。从婚姻状况看，已婚已育人群是分期消费的“主力军”，占比近六成，单身人群位列第二，但占比仅有20.9%。
报告数据显示，分期消费占日常生活消费的比例达到或超过一半的人群接近七成，高达68%，这其中有9%的人日常生活消费的80%甚至全部都要用于分期消费。
从不同年龄段来看，目前已经成为社会中坚的80后和90后，分期消费占日常生活消费不低于50%的人群比例最高，分别达到了71%和70%。而从地域分布来看，一线城市的分期消费人群倾向于从日常生活消费当中拿出很大部分的钱用于固定还款，其比例达到了76%，三线和二线城市紧随其后，分别达到了68%和66%。
(image_address=""https://x0.ifengimg.com/ucms/2020_27/6E4377C43808A34DE0ED6241D47DAAF04F82E335_w1562_h1325.png"")
既然选择消费金融，分多少期还款自然是个值得探究的问题，而这则需要权衡分期利息和月还款压力之间的关系。58金融报告显示，46%受访者选择全额支付不欠款，37%会在免息日结束之后一次性全额还款，但是，在还款时会选择用分期方式的人依然在受访人群中占据主流。
数据显示，有61%的受访者选择分期还款，这其中分6期还款的占比最高，超过半数达到了53%。分12期占比42%，排在第二位。此外，喜欢分3期和分9期还款的用户比例分别为37%和20%。
从金融产品的使用情况来看，支付宝花呗、京东白条和苏宁任意付等电商类产品在分期人群中的渗透率最高，近半年高达79%；银行信用卡类和支付宝借呗、58金融好借、有钱花等金融科技机构消费信贷类产品近半年在分期人群中的渗透率均分列二三两位，占比分别为66%和56%，均在五成以上。
就人群和地域分布而言，电商分期类产品在一线和新一线城市的使用率更高，且更受90后、95后和00后朋友的青睐，其中女性占比较高。
男性同胞尤其是70后和80后的中年男性更喜欢使用银行信用卡类和类似58金融这样的消费信贷类产品，且这一倾向在三四线城市体现得更为明显。就具体的分期消费类目而言，电商分期可谓名符其实的“大众情人”。报告显示，电商消费在分期消费人群中的总体接纳度高达62.4%，3C产品和线下购物分列二三位，占比为49.9%和41.2%。
(image_address=""https://x0.ifengimg.com/ucms/2020_27/81816EFD73DCFEF40FBD5FB619E3BD4D96468D36_w1268_h912.jpg"")
在本次调查所划分的5个不同年龄段的人群当中，从95后到70后年龄段人群对于电商分期的接纳度都在55%以上，而00后对于电商消费的接纳度为37.8%，远低于他们对于手机平板等3C产品51.1%的追捧程度。事实上，电商分期在00后最喜欢的分期消费类目当中只能排在第三位，排在第二的是娱乐分期，接纳度为46.7%。此外，医美分期也是很受00后追捧的类目。
在线下购物、餐饮美食和娱乐类分期上，95后表现得更为热衷。除电商分期之外，90后还相对聚焦于电子3C分期、旅游及医美分期，80后则在家装和购车上的分期需求更为突出，而已经迈入不惑之年的70后则会在餐饮美食、教育培训、家装、购车和旅游健身等方面的分期消费需求均较旺盛。",2020-07-01 14:51:51,凤凰财经
1,英特尔“不得不临时性暂停供货” 浪潮信息股价一度跌停,"7月1日，浪潮信息盘中一度跌停，浪潮软件跌超1%。消息面上，浪潮信息被加入美国出口管治名单。英特尔方面回应《每日经济新闻》记者时称，英特尔需要根据美国相关法律对我们的供应链做出一些相应的调整，因而不得不临时性暂停对此客户的供货。这次临时性暂停预计两周以内，届时将恢复对此客户的供货。
浪潮集团方面对《每日经济新闻》记者表示“具体问英特尔。”
浪潮是IT基础架构技术、产品、方案和服务供应商，业务涵盖了X86服务器、存储、数据库以及AI加速器、AI管理软件等。根据Gartner的2020年Q1数据，浪潮占中国服务器37.6%的市场份额位居第一，全球9.6%的份额位居第三。浪潮服务器是国内众多云服务企业的供货商，包括阿里云、百度云等。",2020-07-01 14:14:19,凤凰财经
