,title,content,pub_time,src
0,三星放弃“世袭制”后 掌门李在镕又被韩国检方传讯,"【海外网5月26日编译报道】据韩联社报道，韩国首尔中央地方检察厅26日传唤三星电子副会长李在镕，对接班疑点进行讯问。这是李在镕2017年2月因行贿案被批捕后，时隔3年多再次到案受讯。
报道称，李在镕当天上午以被控告人身份到案接受审讯，过程不对外公开。
(image_address=""https://x0.ifengimg.com/ucms/2020_22/90C4FD2F16FAF8E329CD46B305D3539614576BD3_w703_h1024.jpg"")
5月6日，李在镕向国民道歉，称不会让子女接班。（韩联社）
韩国检方怀疑三星在2015年的三星物产和第一毛织合并过程中，不惜会计造假造成贬值局面，从而为李在镕接班营造有利环境，并在调查李在镕等集团高管的介入程度。
2018年11月，韩国金融委员会所属的证券期货委员会向检察机关举报三星生物制剂公司进行财务造假。此后检方着手展开调查，并从2019年9月起将调查范围扩大至引发会计造假的集团接班问题，接连传唤三星前现任高管。
(image_address=""https://x0.ifengimg.com/ucms/2020_22/451645A4DA423BA744E9C8EDDB07098668ED3369_w500_h225.jpg"")
三星三代掌门：李秉喆、李健熙、李在镕（韩联社）
李在镕现年52岁，是三星电子副会长、三星集团实际掌门人。今年5月6日，他公开道歉，并承诺不会让子女继承经营权，此番言论被韩媒解读为宣告三星终止“世袭制”。（海外网刘强）",2020-05-26 10:52:14,凤凰财经
1,美团点评高开高走，一度涨超8%，市值突破1000亿美元,"每经编辑彭水萍
26日，美团点评高开高走，一度涨超8%，最高报136.9港元，股价刷新历史新高，市值突破1000亿美元。至此，美团成为腾讯、阿里之后，国内第三家市值跨过千亿美元门槛的互联网公司。
(image_address=""https://x0.ifengimg.com/ucms/2020_22/610AADCD54B75B5B8701F99424341805C4155CDF_w1048_h404.png"")
5月25日晚间，美团点评公布2020年第一季度财报，财报显示美团点评第一季度营收和净利润高于市场预期。美团点评第一季度营收167.5亿元，同比下降12.6%。非国际财务报告标准计量下，调整后净亏损2.16亿元，去年同期净亏损为10.49亿元。",2020-05-26 10:25:16,凤凰财经
2,尚福林：资本市场改革要从融资端和投资端发力,全国政协常委、经济委员会主任尚福林在接受证券时报书面专访时表示，要打造一个规范、透明、开放、有活力、有韧性的资本市场，需要从融资端和投资端两头发力。他建议，在融资端，一是市场建设上，大力发展直接融资市场。二是主体建设上，要提高上市公司质量。在投资端，一是满足不断扩容升级的投资需求。二是培育合格投资者。三是保护投资者合法权益。同时在资管行业转型要坚持服务实体经济的根本方向，坚持以人民为中心的发展理念，坚决守好风险底线，严格坚守合规底线，切实恪守服务客户底线。,2020-05-26 10:13:03,凤凰财经
